__UUID4__;7d342a7c-1893-46b3-9023-923d6c90d07b
__CREATED-ON__;2022-03-14 17:10:39.487549
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-14 17:10:39.487549;;;SERIAL-PORT;COM13
INFO;2022-03-14 17:10:39.487549;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-14 17:10:39.487549;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-14 17:10:39.487549;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-14 17:10:39.487549;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-14 17:10:39.487549;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-14 17:10:39.487549;;;SETUP-NAME;passive_opto_long
INFO;2022-03-14 17:10:39.487549;;;BPOD-GUI-VERSION;
INFO;2022-03-14 17:10:39.487549;;;NET-PORT;36000
INFO;2022-03-14 17:10:39.487549;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-14 17:10:39.921507;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-14 17:10:39.921507;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-14 17:10:39.921507;;;SESSION-NAME;20220314-171034
INFO;2022-03-14 17:10:39.921507;;;SESSION-STARTED;2022-03-14 17:10:39.487549
TRIAL;2022-03-14 17:10:41.236854;;;New trial;
EVENT;2022-03-14 17:10:41.236854;0.0001;;158;Tup
END-TRIAL;2022-03-14 17:10:41.236854;;;The trial ended;
INFO;2022-03-14 17:10:41.236854;1.642512;1.64262;TRIAL-BPOD-TIME;0.00010799999999999699
STATE;2022-03-14 17:10:41.236854;0;0.0001;TimerTrig;0.0001
TRIAL;2022-03-14 17:10:42.438484;;;New trial;
EVENT;2022-03-14 17:10:42.438484;0.0001;;158;Tup
END-TRIAL;2022-03-14 17:10:42.438484;;;The trial ended;
INFO;2022-03-14 17:10:42.438484;2.844112;2.844218;TRIAL-BPOD-TIME;0.00010600000000016152
STATE;2022-03-14 17:10:42.438484;0;0.0001;TimerTrig;0.0001
TRIAL;2022-03-14 17:10:43.408483;;;New trial;
EVENT;2022-03-14 17:10:43.408483;0.0001;;158;Tup
END-TRIAL;2022-03-14 17:10:43.408483;;;The trial ended;
INFO;2022-03-14 17:10:43.408483;3.814112;3.814218;TRIAL-BPOD-TIME;0.00010599999999971743
STATE;2022-03-14 17:10:43.408483;0;0.0001;TimerTrig;0.0001
TRIAL;2022-03-14 17:10:44.168484;;;New trial;
EVENT;2022-03-14 17:10:44.168484;0.0001;;158;Tup
END-TRIAL;2022-03-14 17:10:44.168484;;;The trial ended;
INFO;2022-03-14 17:10:44.168484;4.574111;4.574217;TRIAL-BPOD-TIME;0.00010599999999971743
STATE;2022-03-14 17:10:44.168484;0;0.0001;TimerTrig;0.0001
TRIAL;2022-03-14 17:10:45.428488;;;New trial;
EVENT;2022-03-14 17:10:45.428488;0.0001;;158;Tup
END-TRIAL;2022-03-14 17:10:45.428488;;;The trial ended;
INFO;2022-03-14 17:10:45.428488;5.834212;5.834318;TRIAL-BPOD-TIME;0.00010599999999971743
STATE;2022-03-14 17:10:45.428488;0;0.0001;TimerTrig;0.0001
TRIAL;2022-03-14 17:10:46.088484;;;New trial;
EVENT;2022-03-14 17:10:46.088484;0.0005;;158;Tup
END-TRIAL;2022-03-14 17:10:46.088484;;;The trial ended;
INFO;2022-03-14 17:10:46.088484;6.494111;6.494615;TRIAL-BPOD-TIME;0.0005039999999993938
STATE;2022-03-14 17:10:46.088484;0;0.0005;opto_on;0.0005
TRIAL;2022-03-14 17:10:46.818484;;;New trial;
EVENT;2022-03-14 17:10:46.818484;0.0001;;158;Tup
END-TRIAL;2022-03-14 17:10:46.818484;;;The trial ended;
INFO;2022-03-14 17:10:46.818484;7.224112;7.224218;TRIAL-BPOD-TIME;0.00010599999999971743
STATE;2022-03-14 17:10:46.818484;0;0.0001;TimerTrig;0.0001
TRIAL;2022-03-14 17:10:48.098466;;;New trial;
EVENT;2022-03-14 17:10:48.098466;0.0001;;158;Tup
END-TRIAL;2022-03-14 17:10:48.098466;;;The trial ended;
INFO;2022-03-14 17:10:48.098466;8.504112;8.504217;TRIAL-BPOD-TIME;0.00010500000000135401
STATE;2022-03-14 17:10:48.098466;0;0.0001;TimerTrig;0.0001
TRIAL;2022-03-14 17:10:49.358453;;;New trial;
EVENT;2022-03-14 17:10:49.358453;0.0001;;101;Port4Out
EVENT;2022-03-14 17:10:49.358453;0.0001;;158;Tup
END-TRIAL;2022-03-14 17:10:49.358453;;;The trial ended;
INFO;2022-03-14 17:10:49.358453;9.764012;9.764117;TRIAL-BPOD-TIME;0.00010500000000135401
STATE;2022-03-14 17:10:49.358453;0;0.0001;TimerTrig;0.0001
TRIAL;2022-03-14 17:10:50.678492;;;New trial;
EVENT;2022-03-14 17:10:50.678492;0.0001;;158;Tup
END-TRIAL;2022-03-14 17:10:50.678492;;;The trial ended;
INFO;2022-03-14 17:10:50.678492;11.084112;11.084217;TRIAL-BPOD-TIME;0.00010500000000135401
STATE;2022-03-14 17:10:50.678492;0;0.0001;TimerTrig;0.0001
TRIAL;2022-03-14 17:10:51.698468;;;New trial;
EVENT;2022-03-14 17:10:51.698468;0.0001;;158;Tup
END-TRIAL;2022-03-14 17:10:51.698468;;;The trial ended;
INFO;2022-03-14 17:10:51.698468;12.104012;12.104117;TRIAL-BPOD-TIME;0.00010499999999957765
STATE;2022-03-14 17:10:51.698468;0;0.0001;TimerTrig;0.0001
TRIAL;2022-03-14 17:10:53.068485;;;New trial;
EVENT;2022-03-14 17:10:53.068485;0.0001;;158;Tup
END-TRIAL;2022-03-14 17:10:53.068485;;;The trial ended;
INFO;2022-03-14 17:10:53.068485;13.474112;13.474218;TRIAL-BPOD-TIME;0.00010600000000060561
STATE;2022-03-14 17:10:53.068485;0;0.0001;TimerTrig;0.0001
TRIAL;2022-03-14 17:10:54.338486;;;New trial;
EVENT;2022-03-14 17:10:54.338486;0.0001;;158;Tup
END-TRIAL;2022-03-14 17:10:54.338486;;;The trial ended;
INFO;2022-03-14 17:10:54.338486;14.744011;14.744117;TRIAL-BPOD-TIME;0.00010599999999882925
STATE;2022-03-14 17:10:54.338486;0;0.0001;TimerTrig;0.0001
TRIAL;2022-03-14 17:10:54.948471;;;New trial;
EVENT;2022-03-14 17:10:54.948471;0.0001;;158;Tup
END-TRIAL;2022-03-14 17:10:54.948471;;;The trial ended;
INFO;2022-03-14 17:10:54.948471;15.354012;15.354118;TRIAL-BPOD-TIME;0.00010599999999882925
STATE;2022-03-14 17:10:54.948471;0;0.0001;TimerTrig;0.0001
TRIAL;2022-03-14 17:10:55.868486;;;New trial;
EVENT;2022-03-14 17:10:55.868486;0.0001;;158;Tup
END-TRIAL;2022-03-14 17:10:55.868486;;;The trial ended;
INFO;2022-03-14 17:10:55.868486;16.274012;16.274118;TRIAL-BPOD-TIME;0.00010600000000238197
STATE;2022-03-14 17:10:55.868486;0;0.0001;TimerTrig;0.0001
TRIAL;2022-03-14 17:10:56.938489;;;New trial;
EVENT;2022-03-14 17:10:56.938489;0.0005;;158;Tup
END-TRIAL;2022-03-14 17:10:56.938489;;;The trial ended;
INFO;2022-03-14 17:10:56.938489;17.344012;17.344515;TRIAL-BPOD-TIME;0.0005030000000019186
STATE;2022-03-14 17:10:56.938489;0;0.0005;opto_on;0.0005
INFO;2022-03-14 17:10:56.938489;;;SESSION-ENDED;2022-03-14 17:10:56.938489
