__UUID4__;14bba86e-55a6-4e77-a18b-88eaa4200166
__CREATED-ON__;2022-03-14 17:13:04.706441
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-14 17:13:04.706441;;;SERIAL-PORT;COM13
INFO;2022-03-14 17:13:04.706441;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-14 17:13:04.706441;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-14 17:13:04.706441;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-14 17:13:04.706441;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-14 17:13:04.706441;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-14 17:13:04.706441;;;SETUP-NAME;passive_opto_long
INFO;2022-03-14 17:13:04.706441;;;BPOD-GUI-VERSION;
INFO;2022-03-14 17:13:04.706441;;;NET-PORT;36000
INFO;2022-03-14 17:13:04.706441;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-14 17:13:05.131983;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-14 17:13:05.131983;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-14 17:13:05.131983;;;SESSION-NAME;20220314-171259
INFO;2022-03-14 17:13:05.131983;;;SESSION-STARTED;2022-03-14 17:13:04.706441
TRIAL;2022-03-14 17:13:06.274660;;;New trial;
EVENT;2022-03-14 17:13:06.274660;0.0001;;158;Tup
END-TRIAL;2022-03-14 17:13:06.274660;;;The trial ended;
INFO;2022-03-14 17:13:06.274660;1.464913;1.46502;TRIAL-BPOD-TIME;0.00010700000000007925
STATE;2022-03-14 17:13:06.274660;0;0.0001;TimerTrig;0.0001
TRIAL;2022-03-14 17:13:07.394684;;;New trial;
EVENT;2022-03-14 17:13:07.394684;0.0001;;158;Tup
END-TRIAL;2022-03-14 17:13:07.394684;;;The trial ended;
INFO;2022-03-14 17:13:07.394684;2.584913;2.585019;TRIAL-BPOD-TIME;0.00010600000000016152
STATE;2022-03-14 17:13:07.394684;0;0.0001;TimerTrig;0.0001
TRIAL;2022-03-14 17:13:08.716294;;;New trial;
EVENT;2022-03-14 17:13:08.716294;0.0001;;158;Tup
END-TRIAL;2022-03-14 17:13:08.716294;;;The trial ended;
INFO;2022-03-14 17:13:08.716294;3.906513;3.906619;TRIAL-BPOD-TIME;0.00010600000000016152
STATE;2022-03-14 17:13:08.716294;0;0.0001;TimerTrig;0.0001
TRIAL;2022-03-14 17:13:09.406297;;;New trial;
EVENT;2022-03-14 17:13:09.406297;0.0001;;158;Tup
END-TRIAL;2022-03-14 17:13:09.406297;;;The trial ended;
INFO;2022-03-14 17:13:09.406297;4.596513;4.596618;TRIAL-BPOD-TIME;0.00010500000000046583
STATE;2022-03-14 17:13:09.406297;0;0.0001;TimerTrig;0.0001
TRIAL;2022-03-14 17:13:10.006295;;;New trial;
EVENT;2022-03-14 17:13:10.006295;0.0001;;158;Tup
END-TRIAL;2022-03-14 17:13:10.006295;;;The trial ended;
INFO;2022-03-14 17:13:10.006295;5.196513;5.196619;TRIAL-BPOD-TIME;0.00010599999999971743
STATE;2022-03-14 17:13:10.006295;0;0.0001;TimerTrig;0.0001
TRIAL;2022-03-14 17:13:11.016297;;;New trial;
EVENT;2022-03-14 17:13:11.016297;0.0001;;158;Tup
END-TRIAL;2022-03-14 17:13:11.016297;;;The trial ended;
INFO;2022-03-14 17:13:11.016297;6.206513;6.206619;TRIAL-BPOD-TIME;0.00010599999999971743
STATE;2022-03-14 17:13:11.016297;0;0.0001;TimerTrig;0.0001
TRIAL;2022-03-14 17:13:11.906295;;;New trial;
EVENT;2022-03-14 17:13:11.906295;0.0005;;158;Tup
END-TRIAL;2022-03-14 17:13:11.906295;;;The trial ended;
INFO;2022-03-14 17:13:11.906295;7.096513;7.097015;TRIAL-BPOD-TIME;0.0005020000000000024
STATE;2022-03-14 17:13:11.906295;0;0.0005;opto_on;0.0005
TRIAL;2022-03-14 17:13:12.846286;;;New trial;
EVENT;2022-03-14 17:13:12.846286;0.0001;;158;Tup
END-TRIAL;2022-03-14 17:13:12.846286;;;The trial ended;
INFO;2022-03-14 17:13:12.846286;8.036513;8.036619;TRIAL-BPOD-TIME;0.00010600000000060561
STATE;2022-03-14 17:13:12.846286;0;0.0001;TimerTrig;0.0001
TRIAL;2022-03-14 17:13:13.826249;;;New trial;
EVENT;2022-03-14 17:13:13.826249;0.0001;;158;Tup
END-TRIAL;2022-03-14 17:13:13.826249;;;The trial ended;
INFO;2022-03-14 17:13:13.826249;9.016613;9.016719;TRIAL-BPOD-TIME;0.00010600000000060561
STATE;2022-03-14 17:13:13.826249;0;0.0001;TimerTrig;0.0001
TRIAL;2022-03-14 17:13:15.106289;;;New trial;
EVENT;2022-03-14 17:13:15.106289;0.0001;;158;Tup
END-TRIAL;2022-03-14 17:13:15.106289;;;The trial ended;
INFO;2022-03-14 17:13:15.106289;10.296513;10.296618;TRIAL-BPOD-TIME;0.00010500000000135401
STATE;2022-03-14 17:13:15.106289;0;0.0001;TimerTrig;0.0001
TRIAL;2022-03-14 17:13:16.306296;;;New trial;
EVENT;2022-03-14 17:13:16.306296;0.0001;;158;Tup
END-TRIAL;2022-03-14 17:13:16.306296;;;The trial ended;
INFO;2022-03-14 17:13:16.306296;11.496513;11.496619;TRIAL-BPOD-TIME;0.00010600000000060561
STATE;2022-03-14 17:13:16.306296;0;0.0001;TimerTrig;0.0001
TRIAL;2022-03-14 17:13:16.836303;;;New trial;
