__UUID4__;4d21048d-3ad6-44c4-b311-62356e3154dd
__CREATED-ON__;2022-03-14 17:17:16.931113
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-14 17:17:16.931113;;;SERIAL-PORT;COM13
INFO;2022-03-14 17:17:16.931113;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-14 17:17:16.931113;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-14 17:17:16.931113;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-14 17:17:16.931113;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-14 17:17:16.931113;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-14 17:17:16.931113;;;SETUP-NAME;passive_opto_long
INFO;2022-03-14 17:17:16.931113;;;BPOD-GUI-VERSION;
INFO;2022-03-14 17:17:16.931113;;;NET-PORT;36000
INFO;2022-03-14 17:17:16.931113;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-14 17:17:17.363998;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-14 17:17:17.363998;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-14 17:17:17.363998;;;SESSION-NAME;20220314-171711
INFO;2022-03-14 17:17:17.363998;;;SESSION-STARTED;2022-03-14 17:17:16.931113
TRIAL;2022-03-14 17:17:18.109244;;;New trial;
EVENT;2022-03-14 17:17:18.109244;0.0005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:17:18.109244;0.001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:17:18.109244;0.0011;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:17:18.109244;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-14 17:17:18.109244;0.0016;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:17:18.109244;0.002;;118;GlobalTimer1_End
EVENT;2022-03-14 17:17:18.109244;0.0023;;98;Port3In
EVENT;2022-03-14 17:17:18.109244;0.0023;;100;Port4In
EVENT;2022-03-14 17:17:18.109244;0.0024000000000000002;;96;Port2In
EVENT;2022-03-14 17:17:18.119039;0.01;;158;Tup
END-TRIAL;2022-03-14 17:17:18.119039;;;The trial ended;
INFO;2022-03-14 17:17:18.119039;1.071613;1.081616;TRIAL-BPOD-TIME;0.010002999999999984
STATE;2022-03-14 17:17:18.119039;0;0.01;TimerTrig;0.01
TRIAL;2022-03-14 17:17:18.849229;;;New trial;
EVENT;2022-03-14 17:17:18.859215;0.0005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:17:18.859215;0.001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:17:18.859215;0.0011;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:17:18.859215;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-14 17:17:18.859215;0.0016;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:17:18.859215;0.002;;96;Port2In
EVENT;2022-03-14 17:17:18.859215;0.002;;98;Port3In
EVENT;2022-03-14 17:17:18.859215;0.002;;100;Port4In
EVENT;2022-03-14 17:17:18.859215;0.002;;118;GlobalTimer1_End
EVENT;2022-03-14 17:17:18.859215;0.0024000000000000002;;94;Port1In
EVENT;2022-03-14 17:17:18.859215;0.0044;;95;Port1Out
EVENT;2022-03-14 17:17:18.859215;0.01;;158;Tup
END-TRIAL;2022-03-14 17:17:18.859215;;;The trial ended;
INFO;2022-03-14 17:17:18.859215;1.811613;1.821616;TRIAL-BPOD-TIME;0.010002999999999984
STATE;2022-03-14 17:17:18.859215;0;0.01;TimerTrig;0.01
TRIAL;2022-03-14 17:17:20.302171;;;New trial;
EVENT;2022-03-14 17:17:20.312349;0.0005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:17:20.312349;0.001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:17:20.312349;0.0011;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:17:20.312349;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-14 17:17:20.312349;0.0016;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:17:20.312349;0.002;;118;GlobalTimer1_End
EVENT;2022-03-14 17:17:20.312349;0.0051;;97;Port2Out
EVENT;2022-03-14 17:17:20.312349;0.0051;;99;Port3Out
EVENT;2022-03-14 17:17:20.312349;0.0051;;101;Port4Out
EVENT;2022-03-14 17:17:20.312349;0.0081;;98;Port3In
EVENT;2022-03-14 17:17:20.312349;0.0081;;100;Port4In
EVENT;2022-03-14 17:17:20.312349;0.0082;;96;Port2In
EVENT;2022-03-14 17:17:20.312349;0.01;;158;Tup
END-TRIAL;2022-03-14 17:17:20.312349;;;The trial ended;
INFO;2022-03-14 17:17:20.312349;3.264613;3.274615;TRIAL-BPOD-TIME;0.010001999999999622
STATE;2022-03-14 17:17:20.312349;0;0.01;TimerTrig;0.01
TRIAL;2022-03-14 17:17:21.224257;;;New trial;
EVENT;2022-03-14 17:17:21.234312;0.0005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:17:21.234312;0.001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:17:21.234312;0.0011;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:17:21.234312;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-14 17:17:21.234312;0.0016;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:17:21.234312;0.002;;118;GlobalTimer1_End
EVENT;2022-03-14 17:17:21.234312;0.0025;;97;Port2Out
EVENT;2022-03-14 17:17:21.234312;0.0026000000000000003;;99;Port3Out
EVENT;2022-03-14 17:17:21.234312;0.0026000000000000003;;101;Port4Out
EVENT;2022-03-14 17:17:21.234312;0.0056;;96;Port2In
EVENT;2022-03-14 17:17:21.234312;0.0056;;98;Port3In
EVENT;2022-03-14 17:17:21.234312;0.0056;;100;Port4In
EVENT;2022-03-14 17:17:21.234312;0.007200000000000001;;94;Port1In
EVENT;2022-03-14 17:17:21.234312;0.0092;;95;Port1Out
EVENT;2022-03-14 17:17:21.234312;0.01;;158;Tup
END-TRIAL;2022-03-14 17:17:21.234312;;;The trial ended;
INFO;2022-03-14 17:17:21.234312;4.186613;4.196615;TRIAL-BPOD-TIME;0.010002000000000066
STATE;2022-03-14 17:17:21.234312;0;0.01;TimerTrig;0.01
TRIAL;2022-03-14 17:17:22.484309;;;New trial;
EVENT;2022-03-14 17:17:22.494244;0.0005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:17:22.494244;0.001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:17:22.494244;0.0011;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:17:22.494244;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-14 17:17:22.494244;0.0016;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:17:22.494244;0.0017000000000000001;;97;Port2Out
EVENT;2022-03-14 17:17:22.494244;0.0017000000000000001;;99;Port3Out
