__UUID4__;1884a025-41e3-4ba8-bd79-8b73ad5916c4
__CREATED-ON__;2022-03-14 17:18:06.138162
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-14 17:18:06.138162;;;SERIAL-PORT;COM13
INFO;2022-03-14 17:18:06.138162;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-14 17:18:06.138162;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-14 17:18:06.138162;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-14 17:18:06.138162;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-14 17:18:06.138162;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-14 17:18:06.138162;;;SETUP-NAME;passive_opto_long
INFO;2022-03-14 17:18:06.138162;;;BPOD-GUI-VERSION;
INFO;2022-03-14 17:18:06.138162;;;NET-PORT;36000
INFO;2022-03-14 17:18:06.138162;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-14 17:18:06.561056;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-14 17:18:06.561056;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-14 17:18:06.561056;;;SESSION-NAME;20220314-171800
INFO;2022-03-14 17:18:06.561056;;;SESSION-STARTED;2022-03-14 17:18:06.138162
TRIAL;2022-03-14 17:18:07.310748;;;New trial;
EVENT;2022-03-14 17:18:07.320533;0.0005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:18:07.320533;0.0007;;118;GlobalTimer1_End
EVENT;2022-03-14 17:18:07.320533;0.0008;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:18:07.320533;0.0009000000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:18:07.320533;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:18:07.320533;0.0011;;118;GlobalTimer1_End
EVENT;2022-03-14 17:18:07.320533;0.0015;;94;Port1In
EVENT;2022-03-14 17:18:07.320533;0.0035;;95;Port1Out
EVENT;2022-03-14 17:18:07.320533;0.01;;158;Tup
END-TRIAL;2022-03-14 17:18:07.320533;;;The trial ended;
INFO;2022-03-14 17:18:07.320533;1.067013;1.077016;TRIAL-BPOD-TIME;0.010002999999999984
STATE;2022-03-14 17:18:07.320533;0;0.01;TimerTrig;0.01
TRIAL;2022-03-14 17:18:08.320747;;;New trial;
EVENT;2022-03-14 17:18:08.330747;0.0005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:18:08.330747;0.0007;;118;GlobalTimer1_End
EVENT;2022-03-14 17:18:08.330747;0.0008;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:18:08.330747;0.0009000000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:18:08.330747;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:18:08.330747;0.0011;;118;GlobalTimer1_End
EVENT;2022-03-14 17:18:08.330747;0.0023;;97;Port2Out
EVENT;2022-03-14 17:18:08.330747;0.0023;;99;Port3Out
EVENT;2022-03-14 17:18:08.330747;0.0023;;101;Port4Out
EVENT;2022-03-14 17:18:08.330747;0.0053;;96;Port2In
EVENT;2022-03-14 17:18:08.330747;0.0053;;98;Port3In
EVENT;2022-03-14 17:18:08.330747;0.0053;;100;Port4In
EVENT;2022-03-14 17:18:08.330747;0.0067;;94;Port1In
EVENT;2022-03-14 17:18:08.330747;0.008700000000000001;;95;Port1Out
EVENT;2022-03-14 17:18:08.330747;0.01;;158;Tup
END-TRIAL;2022-03-14 17:18:08.330747;;;The trial ended;
INFO;2022-03-14 17:18:08.330747;2.076913;2.086915;TRIAL-BPOD-TIME;0.010002000000000066
STATE;2022-03-14 17:18:08.330747;0;0.01;TimerTrig;0.01
TRIAL;2022-03-14 17:18:09.812378;;;New trial;
EVENT;2022-03-14 17:18:09.812378;0.0005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:18:09.812378;0.0007;;118;GlobalTimer1_End
EVENT;2022-03-14 17:18:09.812378;0.0008;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:18:09.812378;0.0009000000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:18:09.812378;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:18:09.812378;0.0011;;118;GlobalTimer1_End
EVENT;2022-03-14 17:18:09.822171;0.0097;;97;Port2Out
EVENT;2022-03-14 17:18:09.822171;0.0097;;99;Port3Out
EVENT;2022-03-14 17:18:09.822171;0.0097;;101;Port4Out
EVENT;2022-03-14 17:18:09.822171;0.01;;158;Tup
END-TRIAL;2022-03-14 17:18:09.822171;;;The trial ended;
INFO;2022-03-14 17:18:09.822171;3.568513;3.578515;TRIAL-BPOD-TIME;0.010002000000000066
STATE;2022-03-14 17:18:09.822171;0;0.01;TimerTrig;0.01
TRIAL;2022-03-14 17:18:11.292379;;;New trial;
EVENT;2022-03-14 17:18:11.292379;0.0005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:18:11.292379;0.0007;;118;GlobalTimer1_End
EVENT;2022-03-14 17:18:11.292379;0.0008;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:18:11.292379;0.0009000000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:18:11.292379;0.001;;102;GlobalTimer1_Start
