__UUID4__;f356550b-7c4c-456a-afbe-8dcefc7cf2a9
__CREATED-ON__;2022-03-14 17:18:52.564349
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-14 17:18:52.564349;;;SERIAL-PORT;COM13
INFO;2022-03-14 17:18:52.564349;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-14 17:18:52.564349;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-14 17:18:52.564349;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-14 17:18:52.564349;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-14 17:18:52.564349;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-14 17:18:52.564349;;;SETUP-NAME;passive_opto_long
INFO;2022-03-14 17:18:52.564349;;;BPOD-GUI-VERSION;
INFO;2022-03-14 17:18:52.564349;;;NET-PORT;36000
INFO;2022-03-14 17:18:52.564349;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-14 17:18:52.999756;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-14 17:18:52.999756;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-14 17:18:52.999756;;;SESSION-NAME;20220314-171847
INFO;2022-03-14 17:18:52.999756;;;SESSION-STARTED;2022-03-14 17:18:52.564349
TRIAL;2022-03-14 17:18:53.792384;;;New trial;
EVENT;2022-03-14 17:18:53.792384;0.0002;;94;Port1In
EVENT;2022-03-14 17:18:53.792384;0.0005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:18:53.792384;0.0007;;118;GlobalTimer1_End
EVENT;2022-03-14 17:18:53.792384;0.0008;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:18:53.792384;0.0009000000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:18:53.792384;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:18:53.792384;0.0011;;118;GlobalTimer1_End
EVENT;2022-03-14 17:18:53.792384;0.0021000000000000003;;95;Port1Out
EVENT;2022-03-14 17:18:53.802181;0.01;;158;Tup
END-TRIAL;2022-03-14 17:18:53.802181;;;The trial ended;
INFO;2022-03-14 17:18:53.802181;1.121313;1.131316;TRIAL-BPOD-TIME;0.010002999999999984
STATE;2022-03-14 17:18:53.802181;0;0.01;TimerTrig;0.01
TRIAL;2022-03-14 17:18:54.452392;;;New trial;
EVENT;2022-03-14 17:18:54.462391;0.0005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:18:54.462391;0.0007;;118;GlobalTimer1_End
EVENT;2022-03-14 17:18:54.462391;0.0008;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:18:54.462391;0.0009000000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:18:54.462391;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:18:54.462391;0.0011;;118;GlobalTimer1_End
EVENT;2022-03-14 17:18:54.462391;0.0059;;94;Port1In
EVENT;2022-03-14 17:18:54.462391;0.0079;;95;Port1Out
EVENT;2022-03-14 17:18:54.462391;0.01;;158;Tup
END-TRIAL;2022-03-14 17:18:54.462391;;;The trial ended;
INFO;2022-03-14 17:18:54.462391;1.781213;1.791216;TRIAL-BPOD-TIME;0.010002999999999984
STATE;2022-03-14 17:18:54.462391;0;0.01;TimerTrig;0.01
TRIAL;2022-03-14 17:18:55.394080;;;New trial;
EVENT;2022-03-14 17:18:55.394080;0.0005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:18:55.394080;0.0007;;118;GlobalTimer1_End
EVENT;2022-03-14 17:18:55.394080;0.0008;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:18:55.394080;0.0009000000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:18:55.394080;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:18:55.394080;0.0011;;118;GlobalTimer1_End
EVENT;2022-03-14 17:18:55.403886;0.01;;158;Tup
END-TRIAL;2022-03-14 17:18:55.403886;;;The trial ended;
INFO;2022-03-14 17:18:55.403886;2.722912;2.732916;TRIAL-BPOD-TIME;0.010003999999999902
STATE;2022-03-14 17:18:55.403886;0;0.01;TimerTrig;0.01
TRIAL;2022-03-14 17:18:56.424091;;;New trial;
EVENT;2022-03-14 17:18:56.424091;0.0001;;99;Port3Out
EVENT;2022-03-14 17:18:56.424091;0.0001;;101;Port4Out
EVENT;2022-03-14 17:18:56.424091;0.0005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:18:56.424091;0.0007;;118;GlobalTimer1_End
EVENT;2022-03-14 17:18:56.424091;0.0008;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:18:56.424091;0.0009000000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:18:56.424091;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:18:56.424091;0.0011;;118;GlobalTimer1_End
EVENT;2022-03-14 17:18:56.424091;0.003;;96;Port2In
EVENT;2022-03-14 17:18:56.424091;0.003;;98;Port3In
EVENT;2022-03-14 17:18:56.424091;0.003;;100;Port4In
EVENT;2022-03-14 17:18:56.433886;0.01;;158;Tup
END-TRIAL;2022-03-14 17:18:56.433886;;;The trial ended;
INFO;2022-03-14 17:18:56.433886;3.752913;3.762916;TRIAL-BPOD-TIME;0.010003000000000206
STATE;2022-03-14 17:18:56.433886;0;0.01;TimerTrig;0.01
TRIAL;2022-03-14 17:18:57.664093;;;New trial;
EVENT;2022-03-14 17:18:57.674098;0.0005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:18:57.674098;0.0007;;118;GlobalTimer1_End
EVENT;2022-03-14 17:18:57.674098;0.0008;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:18:57.674098;0.0009000000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:18:57.674098;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:18:57.674098;0.0011;;118;GlobalTimer1_End
EVENT;2022-03-14 17:18:57.674098;0.0027;;98;Port3In
EVENT;2022-03-14 17:18:57.674098;0.0027;;100;Port4In
EVENT;2022-03-14 17:18:57.674098;0.0028;;96;Port2In
EVENT;2022-03-14 17:18:57.674098;0.006;;94;Port1In
EVENT;2022-03-14 17:18:57.674098;0.008;;95;Port1Out
EVENT;2022-03-14 17:18:57.674098;0.01;;158;Tup
END-TRIAL;2022-03-14 17:18:57.674098;;;The trial ended;
