__UUID4__;91a76118-c2f1-4651-9436-9106216d4a19
__CREATED-ON__;2022-03-14 17:19:34.734935
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-14 17:19:34.734935;;;SERIAL-PORT;COM13
INFO;2022-03-14 17:19:34.734935;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-14 17:19:34.734935;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-14 17:19:34.734935;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-14 17:19:34.734935;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-14 17:19:34.734935;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-14 17:19:34.734935;;;SETUP-NAME;passive_opto_long
INFO;2022-03-14 17:19:34.734935;;;BPOD-GUI-VERSION;
INFO;2022-03-14 17:19:34.734935;;;NET-PORT;36000
INFO;2022-03-14 17:19:34.734935;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-14 17:19:35.167721;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-14 17:19:35.167721;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-14 17:19:35.167721;;;SESSION-NAME;20220314-171929
INFO;2022-03-14 17:19:35.167721;;;SESSION-STARTED;2022-03-14 17:19:34.734935
TRIAL;2022-03-14 17:19:35.732948;;;New trial;
EVENT;2022-03-14 17:19:35.742954;0.0005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:19:35.742954;0.0007;;118;GlobalTimer1_End
EVENT;2022-03-14 17:19:35.742954;0.0008;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:19:35.742954;0.0009000000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:19:35.742954;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:19:35.742954;0.0011;;118;GlobalTimer1_End
EVENT;2022-03-14 17:19:35.742954;0.0012000000000000001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:19:35.742954;0.0013000000000000002;;118;GlobalTimer1_End
EVENT;2022-03-14 17:19:35.742954;0.0014;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:19:35.742954;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-14 17:19:35.742954;0.0016;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:19:35.742954;0.0017000000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:19:35.742954;0.0018000000000000002;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:19:35.742954;0.0019;;118;GlobalTimer1_End
EVENT;2022-03-14 17:19:35.742954;0.004;;97;Port2Out
EVENT;2022-03-14 17:19:35.742954;0.0041;;99;Port3Out
EVENT;2022-03-14 17:19:35.742954;0.0041;;101;Port4Out
EVENT;2022-03-14 17:19:35.742954;0.0071;;96;Port2In
EVENT;2022-03-14 17:19:35.742954;0.0071;;98;Port3In
EVENT;2022-03-14 17:19:35.742954;0.0071;;100;Port4In
EVENT;2022-03-14 17:19:35.742954;0.01;;158;Tup
END-TRIAL;2022-03-14 17:19:35.742954;;;The trial ended;
INFO;2022-03-14 17:19:35.742954;0.888513;0.898515;TRIAL-BPOD-TIME;0.010001999999999955
STATE;2022-03-14 17:19:35.742954;0;0.01;TimerTrig;0.01
TRIAL;2022-03-14 17:19:36.405540;;;New trial;
EVENT;2022-03-14 17:19:36.415536;0.0005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:19:36.415536;0.0007;;118;GlobalTimer1_End
EVENT;2022-03-14 17:19:36.415536;0.0008;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:19:36.415536;0.0009000000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:19:36.415536;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:19:36.415536;0.0011;;118;GlobalTimer1_End
EVENT;2022-03-14 17:19:36.415536;0.0012000000000000001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:19:36.415536;0.0013000000000000002;;118;GlobalTimer1_End
EVENT;2022-03-14 17:19:36.415536;0.0014;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:19:36.415536;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-14 17:19:36.415536;0.0016;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:19:36.415536;0.0017000000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:19:36.415536;0.0018000000000000002;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:19:36.415536;0.0019;;118;GlobalTimer1_End
EVENT;2022-03-14 17:19:36.415536;0.006500000000000001;;94;Port1In
