__UUID4__;72d2d472-ed96-4a6f-b47c-12ad91c3a1b9
__CREATED-ON__;2022-03-14 17:20:03.183469
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-14 17:20:03.183469;;;SERIAL-PORT;COM13
INFO;2022-03-14 17:20:03.183469;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-14 17:20:03.183469;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-14 17:20:03.183469;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-14 17:20:03.193606;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-14 17:20:03.193606;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-14 17:20:03.193606;;;SETUP-NAME;passive_opto_long
INFO;2022-03-14 17:20:03.193606;;;BPOD-GUI-VERSION;
INFO;2022-03-14 17:20:03.193606;;;NET-PORT;36000
INFO;2022-03-14 17:20:03.193606;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-14 17:20:03.628826;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-14 17:20:03.628826;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-14 17:20:03.628826;;;SESSION-NAME;20220314-171957
INFO;2022-03-14 17:20:03.628826;;;SESSION-STARTED;2022-03-14 17:20:03.183469
TRIAL;2022-03-14 17:20:04.891422;;;New trial;
EVENT;2022-03-14 17:20:04.891422;0.0005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:04.891422;0.0007;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:04.891422;0.0008;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:04.891422;0.0009000000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:04.891422;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:04.891422;0.0011;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:04.891422;0.0012000000000000001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:04.891422;0.0013000000000000002;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:04.891422;0.0014;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:04.891422;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:04.891422;0.0016;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:04.891422;0.0017000000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:04.901217;0.0018000000000000002;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:04.901217;0.0019;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:04.901217;0.01;;158;Tup
END-TRIAL;2022-03-14 17:20:04.901217;;;The trial ended;
INFO;2022-03-14 17:20:04.901217;1.590013;1.600016;TRIAL-BPOD-TIME;0.010003000000000206
STATE;2022-03-14 17:20:04.901217;0;0.01;TimerTrig;0.01
TRIAL;2022-03-14 17:20:06.013053;;;New trial;
EVENT;2022-03-14 17:20:06.023049;0.0005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:06.023049;0.0007;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:06.023049;0.0008;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:06.023049;0.0009000000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:06.023049;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:06.023049;0.0011;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:06.023049;0.0012000000000000001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:06.023049;0.0013000000000000002;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:06.023049;0.0014;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:06.023049;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:06.023049;0.0016;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:06.023049;0.0017000000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:06.023049;0.0018000000000000002;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:06.023049;0.0019;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:06.023049;0.0047;;94;Port1In
EVENT;2022-03-14 17:20:06.023049;0.0067;;95;Port1Out
EVENT;2022-03-14 17:20:06.023049;0.01;;158;Tup
END-TRIAL;2022-03-14 17:20:06.023049;;;The trial ended;
INFO;2022-03-14 17:20:06.023049;2.711512;2.721516;TRIAL-BPOD-TIME;0.010003999999999902
STATE;2022-03-14 17:20:06.023049;0;0.01;TimerTrig;0.01
TRIAL;2022-03-14 17:20:06.893045;;;New trial;
EVENT;2022-03-14 17:20:06.893045;0.0005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:06.893045;0.0007;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:06.893045;0.0008;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:06.893045;0.0009000000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:06.893045;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:06.893045;0.0011;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:06.893045;0.0012000000000000001;;102;GlobalTimer1_Start
