__UUID4__;f6968b21-1a06-4fc5-ac62-89b522d15c9e
__CREATED-ON__;2022-03-14 17:20:41.025245
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-14 17:20:41.025245;;;SERIAL-PORT;COM13
INFO;2022-03-14 17:20:41.025245;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-14 17:20:41.025245;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-14 17:20:41.025245;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-14 17:20:41.025245;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-14 17:20:41.025245;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-14 17:20:41.025245;;;SETUP-NAME;passive_opto_long
INFO;2022-03-14 17:20:41.025245;;;BPOD-GUI-VERSION;
INFO;2022-03-14 17:20:41.025245;;;NET-PORT;36000
INFO;2022-03-14 17:20:41.025245;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-14 17:20:41.457926;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-14 17:20:41.457926;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-14 17:20:41.457926;;;SESSION-NAME;20220314-172035
INFO;2022-03-14 17:20:41.457926;;;SESSION-STARTED;2022-03-14 17:20:41.025245
TRIAL;2022-03-14 17:20:42.113179;;;New trial;
EVENT;2022-03-14 17:20:42.123189;0.0004;;94;Port1In
EVENT;2022-03-14 17:20:42.123189;0.0005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:42.123189;0.0007;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:42.123189;0.0008;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:42.123189;0.0009000000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:42.123189;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:42.123189;0.0011;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:42.123189;0.0012000000000000001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:42.123189;0.0013000000000000002;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:42.123189;0.0014;;97;Port2Out
EVENT;2022-03-14 17:20:42.123189;0.0014;;99;Port3Out
EVENT;2022-03-14 17:20:42.123189;0.0014;;101;Port4Out
EVENT;2022-03-14 17:20:42.123189;0.0014;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:42.123189;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:42.123189;0.0016;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:42.123189;0.0017000000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:42.123189;0.0018000000000000002;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:42.123189;0.0019;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:42.123189;0.0023;;95;Port1Out
EVENT;2022-03-14 17:20:42.123189;0.0044;;96;Port2In
EVENT;2022-03-14 17:20:42.123189;0.0044;;98;Port3In
EVENT;2022-03-14 17:20:42.123189;0.0044;;100;Port4In
EVENT;2022-03-14 17:20:42.123189;0.01;;158;Tup
END-TRIAL;2022-03-14 17:20:42.123189;;;The trial ended;
INFO;2022-03-14 17:20:42.123189;0.983914;0.993917;TRIAL-BPOD-TIME;0.010003000000000095
STATE;2022-03-14 17:20:42.123189;0;0.01;TimerTrig;0.01
TRIAL;2022-03-14 17:20:42.848358;;;New trial;
EVENT;2022-03-14 17:20:42.858354;0.0005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:42.858354;0.0007;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:42.858354;0.0008;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:42.858354;0.0009000000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:42.858354;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:42.858354;0.0011;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:42.858354;0.0012000000000000001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:42.858354;0.0013000000000000002;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:42.858354;0.0014;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:42.858354;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:42.858354;0.0016;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:42.858354;0.0017000000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:42.858354;0.0018000000000000002;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:42.858354;0.0019;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:42.858354;0.0059;;97;Port2Out
EVENT;2022-03-14 17:20:42.858354;0.0059;;99;Port3Out
EVENT;2022-03-14 17:20:42.858354;0.0059;;101;Port4Out
EVENT;2022-03-14 17:20:42.858354;0.009000000000000001;;96;Port2In
EVENT;2022-03-14 17:20:42.858354;0.009000000000000001;;98;Port3In
EVENT;2022-03-14 17:20:42.858354;0.009000000000000001;;100;Port4In
EVENT;2022-03-14 17:20:42.858354;0.01;;158;Tup
END-TRIAL;2022-03-14 17:20:42.858354;;;The trial ended;
INFO;2022-03-14 17:20:42.858354;1.719114;1.729117;TRIAL-BPOD-TIME;0.010002999999999984
STATE;2022-03-14 17:20:42.858354;0;0.01;TimerTrig;0.01
TRIAL;2022-03-14 17:20:43.688359;;;New trial;
EVENT;2022-03-14 17:20:43.698357;0.0005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:43.698357;0.0007;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:43.698357;0.0008;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:43.698357;0.0009000000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:43.698357;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:43.698357;0.0011;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:43.698357;0.0012000000000000001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:43.698357;0.0013000000000000002;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:43.698357;0.0014;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:43.698357;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:43.698357;0.0016;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:43.698357;0.0017000000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:43.698357;0.0018000000000000002;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:43.698357;0.0019;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:43.698357;0.0057;;97;Port2Out
EVENT;2022-03-14 17:20:43.698357;0.0057;;99;Port3Out
EVENT;2022-03-14 17:20:43.698357;0.0057;;101;Port4Out
EVENT;2022-03-14 17:20:43.698357;0.006200000000000001;;94;Port1In
EVENT;2022-03-14 17:20:43.698357;0.0082;;95;Port1Out
EVENT;2022-03-14 17:20:43.698357;0.008700000000000001;;96;Port2In
EVENT;2022-03-14 17:20:43.698357;0.008700000000000001;;98;Port3In
EVENT;2022-03-14 17:20:43.698357;0.008700000000000001;;100;Port4In
EVENT;2022-03-14 17:20:43.698357;0.01;;158;Tup
END-TRIAL;2022-03-14 17:20:43.698357;;;The trial ended;
INFO;2022-03-14 17:20:43.698357;2.559014;2.569017;TRIAL-BPOD-TIME;0.010003000000000206
STATE;2022-03-14 17:20:43.698357;0;0.01;TimerTrig;0.01
TRIAL;2022-03-14 17:20:44.740011;;;New trial;
EVENT;2022-03-14 17:20:44.750009;0.0005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:44.750009;0.0007;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:44.750009;0.0008;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:44.750009;0.0009000000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:44.750009;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:44.750009;0.0011;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:44.750009;0.0012000000000000001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:44.750009;0.0013000000000000002;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:44.750009;0.0014;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:44.750009;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:44.750009;0.0016;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:44.750009;0.0017000000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:44.750009;0.0018000000000000002;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:44.750009;0.0019;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:44.750009;0.0029000000000000002;;94;Port1In
EVENT;2022-03-14 17:20:44.750009;0.0049;;95;Port1Out
EVENT;2022-03-14 17:20:44.750009;0.01;;158;Tup
END-TRIAL;2022-03-14 17:20:44.750009;;;The trial ended;
INFO;2022-03-14 17:20:44.750009;3.610714;3.620717;TRIAL-BPOD-TIME;0.010002999999999762
STATE;2022-03-14 17:20:44.750009;0;0.01;TimerTrig;0.01
TRIAL;2022-03-14 17:20:45.540003;;;New trial;
EVENT;2022-03-14 17:20:45.540003;0.0005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:45.549797;0.0007;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:45.549797;0.0008;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:45.549797;0.0009000000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:45.549797;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:45.549797;0.0011;;118;GlobalTimer1_End
EVENT;2022-03-14 17:20:45.549797;0.0012000000000000001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:20:45.549797;0.0013000000000000002;;118;GlobalTimer1_End
