__UUID4__;78709a96-ab54-4297-9721-c67d26868778
__CREATED-ON__;2022-03-14 17:21:05.576832
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-14 17:21:05.576832;;;SERIAL-PORT;COM13
INFO;2022-03-14 17:21:05.576832;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-14 17:21:05.576832;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-14 17:21:05.576832;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-14 17:21:05.576832;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-14 17:21:05.576832;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-14 17:21:05.576832;;;SETUP-NAME;passive_opto_long
INFO;2022-03-14 17:21:05.576832;;;BPOD-GUI-VERSION;
INFO;2022-03-14 17:21:05.576832;;;NET-PORT;36000
INFO;2022-03-14 17:21:05.576832;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-14 17:21:06.012115;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-14 17:21:06.012115;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-14 17:21:06.012115;;;SESSION-NAME;20220314-172100
INFO;2022-03-14 17:21:06.012115;;;SESSION-STARTED;2022-03-14 17:21:05.576832
TRIAL;2022-03-14 17:21:07.014931;;;New trial;
EVENT;2022-03-14 17:21:07.014931;0.0005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:21:07.014931;0.0007;;118;GlobalTimer1_End
EVENT;2022-03-14 17:21:07.014931;0.0008;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:21:07.014931;0.0009000000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:21:07.014931;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:21:07.014931;0.0011;;118;GlobalTimer1_End
EVENT;2022-03-14 17:21:07.014931;0.0012000000000000001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:21:07.014931;0.0013000000000000002;;118;GlobalTimer1_End
EVENT;2022-03-14 17:21:07.014931;0.0014;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:21:07.014931;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-14 17:21:07.014931;0.0016;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:21:07.014931;0.0017000000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:21:07.014931;0.0018000000000000002;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:21:07.014931;0.0019;;118;GlobalTimer1_End
EVENT;2022-03-14 17:21:07.024716;0.01;;158;Tup
END-TRIAL;2022-03-14 17:21:07.024716;;;The trial ended;
INFO;2022-03-14 17:21:07.024716;1.330512;1.340515;TRIAL-BPOD-TIME;0.010002999999999984
STATE;2022-03-14 17:21:07.024716;0;0.01;TimerTrig;0.01
TRIAL;2022-03-14 17:21:07.544933;;;New trial;
EVENT;2022-03-14 17:21:07.554717;0.0005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:21:07.554717;0.0007;;97;Port2Out
EVENT;2022-03-14 17:21:07.554717;0.0007;;118;GlobalTimer1_End
EVENT;2022-03-14 17:21:07.554717;0.0008;;99;Port3Out
EVENT;2022-03-14 17:21:07.554717;0.0008;;101;Port4Out
EVENT;2022-03-14 17:21:07.554717;0.0008;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:21:07.554717;0.0009000000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:21:07.554717;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:21:07.554717;0.0011;;118;GlobalTimer1_End
EVENT;2022-03-14 17:21:07.554717;0.0012000000000000001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:21:07.554717;0.0013000000000000002;;118;GlobalTimer1_End
EVENT;2022-03-14 17:21:07.554717;0.0014;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:21:07.554717;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-14 17:21:07.554717;0.0016;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:21:07.554717;0.0017000000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:21:07.554717;0.0018000000000000002;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:21:07.554717;0.0019;;118;GlobalTimer1_End
EVENT;2022-03-14 17:21:07.554717;0.0038;;96;Port2In
EVENT;2022-03-14 17:21:07.554717;0.0038;;98;Port3In
EVENT;2022-03-14 17:21:07.554717;0.0038;;100;Port4In
EVENT;2022-03-14 17:21:07.554717;0.01;;158;Tup
END-TRIAL;2022-03-14 17:21:07.554717;;;The trial ended;
INFO;2022-03-14 17:21:07.554717;1.860412;1.870415;TRIAL-BPOD-TIME;0.010002999999999984
STATE;2022-03-14 17:21:07.554717;0;0.01;TimerTrig;0.01
TRIAL;2022-03-14 17:21:08.244925;;;New trial;
EVENT;2022-03-14 17:21:08.254718;0.0005;;97;Port2Out
EVENT;2022-03-14 17:21:08.254718;0.0005;;99;Port3Out
EVENT;2022-03-14 17:21:08.254718;0.0005;;101;Port4Out
EVENT;2022-03-14 17:21:08.254718;0.0005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:21:08.254718;0.0007;;118;GlobalTimer1_End
EVENT;2022-03-14 17:21:08.254718;0.0008;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:21:08.254718;0.0009000000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:21:08.254718;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:21:08.254718;0.0011;;118;GlobalTimer1_End
EVENT;2022-03-14 17:21:08.254718;0.0012000000000000001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:21:08.254718;0.0013000000000000002;;118;GlobalTimer1_End
EVENT;2022-03-14 17:21:08.254718;0.0014;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:21:08.254718;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-14 17:21:08.254718;0.0016;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:21:08.254718;0.0017000000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:21:08.254718;0.0018000000000000002;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:21:08.254718;0.0019;;118;GlobalTimer1_End
