__UUID4__;f2712838-7026-4764-9839-25e48f0ac943
__CREATED-ON__;2022-03-14 17:21:53.083653
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-14 17:21:53.083653;;;SERIAL-PORT;COM13
INFO;2022-03-14 17:21:53.083653;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-14 17:21:53.083653;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-14 17:21:53.083653;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-14 17:21:53.083653;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-14 17:21:53.083653;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-14 17:21:53.083653;;;SETUP-NAME;passive_opto_long
INFO;2022-03-14 17:21:53.083653;;;BPOD-GUI-VERSION;
INFO;2022-03-14 17:21:53.083653;;;NET-PORT;36000
INFO;2022-03-14 17:21:53.083653;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-14 17:21:53.516445;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-14 17:21:53.516445;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-14 17:21:53.516445;;;SESSION-NAME;20220314-172147
INFO;2022-03-14 17:21:53.516445;;;SESSION-STARTED;2022-03-14 17:21:53.083653
TRIAL;2022-03-14 17:21:54.061813;;;New trial;
EVENT;2022-03-14 17:21:54.061813;0.0005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:21:54.061813;0.0007;;118;GlobalTimer1_End
EVENT;2022-03-14 17:21:54.061813;0.0008;;102;GlobalTimer1_Start
