__UUID4__;0d26b412-477e-43ac-85b2-df5a67f0ea6f
__CREATED-ON__;2022-03-14 17:23:34.974641
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-14 17:23:34.974641;;;SERIAL-PORT;COM13
INFO;2022-03-14 17:23:34.974641;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-14 17:23:34.974641;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-14 17:23:34.974641;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-14 17:23:34.974641;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-14 17:23:34.974641;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-14 17:23:34.974641;;;SETUP-NAME;passive_opto_long
INFO;2022-03-14 17:23:34.974641;;;BPOD-GUI-VERSION;
INFO;2022-03-14 17:23:34.974641;;;NET-PORT;36000
INFO;2022-03-14 17:23:34.974641;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-14 17:23:35.407328;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-14 17:23:35.407328;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-14 17:23:35.407328;;;SESSION-NAME;20220314-172329
INFO;2022-03-14 17:23:35.407328;;;SESSION-STARTED;2022-03-14 17:23:34.974641
TRIAL;2022-03-14 17:23:36.052485;;;New trial;
EVENT;2022-03-14 17:23:36.062489;0.0002;;94;Port1In
EVENT;2022-03-14 17:23:36.062489;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:23:36.062489;0.002;;118;GlobalTimer1_End
EVENT;2022-03-14 17:23:36.062489;0.0021000000000000003;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:23:36.062489;0.0022;;95;Port1Out
EVENT;2022-03-14 17:23:36.062489;0.003;;118;GlobalTimer1_End
EVENT;2022-03-14 17:23:36.062489;0.0031000000000000003;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:23:36.062489;0.004;;118;GlobalTimer1_End
EVENT;2022-03-14 17:23:36.062489;0.0041;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:23:36.062489;0.005;;118;GlobalTimer1_End
EVENT;2022-03-14 17:23:36.062489;0.0051;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:23:36.062489;0.006;;118;GlobalTimer1_End
EVENT;2022-03-14 17:23:36.062489;0.0061;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:23:36.062489;0.007;;118;GlobalTimer1_End
EVENT;2022-03-14 17:23:36.062489;0.0071;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:23:36.062489;0.008;;118;GlobalTimer1_End
EVENT;2022-03-14 17:23:36.062489;0.01;;158;Tup
END-TRIAL;2022-03-14 17:23:36.062489;;;The trial ended;
