__UUID4__;6b47a746-4c9a-4ec6-8e9e-823e5e336f86
__CREATED-ON__;2022-03-14 17:24:38.835916
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-14 17:24:38.835916;;;SERIAL-PORT;COM13
INFO;2022-03-14 17:24:38.835916;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-14 17:24:38.835916;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-14 17:24:38.835916;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-14 17:24:38.835916;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-14 17:24:38.835916;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-14 17:24:38.835916;;;SETUP-NAME;passive_opto_long
INFO;2022-03-14 17:24:38.835916;;;BPOD-GUI-VERSION;
INFO;2022-03-14 17:24:38.835916;;;NET-PORT;36000
INFO;2022-03-14 17:24:38.835916;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-14 17:24:39.271270;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-14 17:24:39.271270;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-14 17:24:39.271270;;;SESSION-NAME;20220314-172433
INFO;2022-03-14 17:24:39.271270;;;SESSION-STARTED;2022-03-14 17:24:38.835916
TRIAL;2022-03-14 17:24:40.623857;;;New trial;
EVENT;2022-03-14 17:24:40.633855;0.0005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:24:40.633855;0.0006000000000000001;;95;Port1Out
EVENT;2022-03-14 17:24:40.633855;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-14 17:24:40.633855;0.0016;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:24:40.633855;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-14 17:24:40.633855;0.0026000000000000003;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:24:40.633855;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-14 17:24:40.633855;0.0036000000000000003;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:24:40.633855;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-14 17:24:40.633855;0.0046;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:24:40.633855;0.0055000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-14 17:24:40.633855;0.0056;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:24:40.633855;0.006500000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:24:40.633855;0.0066;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:24:40.633855;0.007500000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:24:40.633855;0.009300000000000001;;97;Port2Out
EVENT;2022-03-14 17:24:40.633855;0.009300000000000001;;99;Port3Out
EVENT;2022-03-14 17:24:40.633855;0.009300000000000001;;101;Port4Out
EVENT;2022-03-14 17:24:40.633855;0.01;;158;Tup
END-TRIAL;2022-03-14 17:24:40.633855;;;The trial ended;
INFO;2022-03-14 17:24:40.633855;1.680606;1.690609;TRIAL-BPOD-TIME;0.010002999999999984
STATE;2022-03-14 17:24:40.633855;0;0.01;TimerTrig;0.01
TRIAL;2022-03-14 17:24:41.523857;;;New trial;
EVENT;2022-03-14 17:24:41.533849;0.0005;;102;GlobalTimer1_Start
