__UUID4__;0d335f11-59f4-405a-88ce-68196842da0b
__CREATED-ON__;2022-03-14 17:26:15.363469
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-14 17:26:15.363469;;;SERIAL-PORT;COM13
INFO;2022-03-14 17:26:15.363469;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-14 17:26:15.363469;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-14 17:26:15.363469;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-14 17:26:15.363469;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-14 17:26:15.363469;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-14 17:26:15.363469;;;SETUP-NAME;passive_opto_long
INFO;2022-03-14 17:26:15.363469;;;BPOD-GUI-VERSION;
INFO;2022-03-14 17:26:15.363469;;;NET-PORT;36000
INFO;2022-03-14 17:26:15.363469;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-14 17:26:15.788627;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-14 17:26:15.788627;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-14 17:26:15.788627;;;SESSION-NAME;20220314-172609
INFO;2022-03-14 17:26:15.788627;;;SESSION-STARTED;2022-03-14 17:26:15.363469
TRIAL;2022-03-14 17:26:17.125119;;;New trial;
EVENT;2022-03-14 17:26:17.135122;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:26:17.135122;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-14 17:26:17.135122;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:26:17.135122;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-14 17:26:17.135122;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:26:17.135122;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-14 17:26:17.135122;0.0027;;94;Port1In
EVENT;2022-03-14 17:26:17.135122;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:26:17.135122;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-14 17:26:17.135122;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:26:17.135122;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-14 17:26:17.135122;0.0047;;95;Port1Out
EVENT;2022-03-14 17:26:17.135122;0.005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:26:17.135122;0.0055000000000000005;;118;GlobalTimer1_End
