__UUID4__;8498b9a7-b684-474e-a168-6b851d6845b3
__CREATED-ON__;2022-03-14 17:29:44.736092
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-14 17:29:44.736092;;;SERIAL-PORT;COM13
INFO;2022-03-14 17:29:44.736092;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-14 17:29:44.736092;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-14 17:29:44.736092;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-14 17:29:44.736092;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-14 17:29:44.736092;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-14 17:29:44.736092;;;SETUP-NAME;passive_opto_long
INFO;2022-03-14 17:29:44.736092;;;BPOD-GUI-VERSION;
INFO;2022-03-14 17:29:44.736092;;;NET-PORT;36000
INFO;2022-03-14 17:29:44.736092;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-14 17:29:45.168910;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-14 17:29:45.168910;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-14 17:29:45.168910;;;SESSION-NAME;20220314-172939
INFO;2022-03-14 17:29:45.168910;;;SESSION-STARTED;2022-03-14 17:29:44.736092
TRIAL;2022-03-14 17:29:47.184101;;;New trial;
EVENT;2022-03-14 17:29:47.194108;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:29:47.194108;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-14 17:29:47.194108;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:29:47.194108;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-14 17:29:47.194108;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:29:47.194108;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-14 17:29:47.194108;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:29:47.194108;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-14 17:29:47.194108;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:29:47.194108;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-14 17:29:47.194108;0.005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:29:47.194108;0.0055000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-14 17:29:47.194108;0.006;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:29:47.194108;0.006500000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:29:47.194108;0.01;;158;Tup
END-TRIAL;2022-03-14 17:29:47.194108;;;The trial ended;
INFO;2022-03-14 17:29:47.194108;2.341713;2.351715;TRIAL-BPOD-TIME;0.010002000000000066
STATE;2022-03-14 17:29:47.194108;0;0.01;TimerTrig;0.01
TRIAL;2022-03-14 17:29:49.195737;;;New trial;
EVENT;2022-03-14 17:29:49.205740;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:29:49.205740;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-14 17:29:49.205740;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:29:49.205740;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-14 17:29:49.205740;0.0017000000000000001;;97;Port2Out
EVENT;2022-03-14 17:29:49.205740;0.0018000000000000002;;99;Port3Out
EVENT;2022-03-14 17:29:49.205740;0.0018000000000000002;;101;Port4Out
EVENT;2022-03-14 17:29:49.205740;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:29:49.205740;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-14 17:29:49.205740;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:29:49.205740;0.0035;;118;GlobalTimer1_End
