__UUID4__;70850308-1b73-44ef-bff7-9e43afc4c122
__CREATED-ON__;2022-03-14 17:33:59.904110
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-14 17:33:59.904110;;;SERIAL-PORT;COM13
INFO;2022-03-14 17:33:59.904110;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-14 17:33:59.904110;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-14 17:33:59.904110;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-14 17:33:59.904110;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-14 17:33:59.904110;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-14 17:33:59.904110;;;SETUP-NAME;passive_opto_long
INFO;2022-03-14 17:33:59.904110;;;BPOD-GUI-VERSION;
INFO;2022-03-14 17:33:59.904110;;;NET-PORT;36000
INFO;2022-03-14 17:33:59.904110;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-14 17:34:00.336843;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-14 17:34:00.336843;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-14 17:34:00.336843;;;SESSION-NAME;20220314-173354
INFO;2022-03-14 17:34:00.336843;;;SESSION-STARTED;2022-03-14 17:33:59.904110
TRIAL;2022-03-14 17:34:02.011987;;;New trial;
EVENT;2022-03-14 17:34:02.021987;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:34:02.021987;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-14 17:34:02.021987;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:34:02.021987;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-14 17:34:02.021987;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:34:02.021987;0.0021000000000000003;;94;Port1In
EVENT;2022-03-14 17:34:02.021987;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-14 17:34:02.021987;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:34:02.021987;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-14 17:34:02.021987;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:34:02.021987;0.0041;;95;Port1Out
EVENT;2022-03-14 17:34:02.021987;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-14 17:34:02.021987;0.005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:34:02.021987;0.0055000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-14 17:34:02.021987;0.006;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:34:02.021987;0.006500000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:34:02.021987;0.01;;158;Tup
END-TRIAL;2022-03-14 17:34:02.021987;;;The trial ended;
INFO;2022-03-14 17:34:02.021987;1.999913;2.009916;TRIAL-BPOD-TIME;0.010002999999999984
STATE;2022-03-14 17:34:02.021987;0;0.01;TimerTrig;0.01
TRIAL;2022-03-14 17:34:04.463599;;;New trial;
EVENT;2022-03-14 17:34:04.473571;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:34:04.473571;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-14 17:34:04.473571;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:34:04.473571;0.0015;;97;Port2Out
EVENT;2022-03-14 17:34:04.473571;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-14 17:34:04.473571;0.0016;;99;Port3Out
EVENT;2022-03-14 17:34:04.473571;0.0016;;101;Port4Out
EVENT;2022-03-14 17:34:04.473571;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:34:04.473571;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-14 17:34:04.473571;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:34:04.473571;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-14 17:34:04.473571;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:34:04.473571;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-14 17:34:04.473571;0.0046;;96;Port2In
EVENT;2022-03-14 17:34:04.473571;0.0046;;98;Port3In
EVENT;2022-03-14 17:34:04.473571;0.0046;;100;Port4In
EVENT;2022-03-14 17:34:04.473571;0.005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:34:04.473571;0.0055000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-14 17:34:04.473571;0.006;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:34:04.473571;0.006500000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:34:04.473571;0.01;;158;Tup
END-TRIAL;2022-03-14 17:34:04.473571;;;The trial ended;
INFO;2022-03-14 17:34:04.473571;4.451413;4.461417;TRIAL-BPOD-TIME;0.010004000000000346
STATE;2022-03-14 17:34:04.473571;0;0.01;TimerTrig;0.01
TRIAL;2022-03-14 17:34:06.556238;;;New trial;
EVENT;2022-03-14 17:34:06.566178;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:34:06.566178;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-14 17:34:06.566178;0.001;;94;Port1In
EVENT;2022-03-14 17:34:06.566178;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:34:06.566178;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-14 17:34:06.566178;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:34:06.566178;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-14 17:34:06.566178;0.003;;95;Port1Out
EVENT;2022-03-14 17:34:06.566178;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:34:06.566178;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-14 17:34:06.566178;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:34:06.566178;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-14 17:34:06.566178;0.005;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:34:06.566178;0.0055000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-14 17:34:06.566178;0.006;;102;GlobalTimer1_Start
EVENT;2022-03-14 17:34:06.566178;0.006500000000000001;;118;GlobalTimer1_End
EVENT;2022-03-14 17:34:06.566178;0.0091;;97;Port2Out
EVENT;2022-03-14 17:34:06.566178;0.0092;;99;Port3Out
EVENT;2022-03-14 17:34:06.566178;0.0092;;101;Port4Out
EVENT;2022-03-14 17:34:06.566178;0.01;;158;Tup
END-TRIAL;2022-03-14 17:34:06.566178;;;The trial ended;
INFO;2022-03-14 17:34:06.566178;6.544113;6.554116;TRIAL-BPOD-TIME;0.010002999999999318
STATE;2022-03-14 17:34:06.566178;0;0.01;TimerTrig;0.01
TRIAL;2022-03-14 17:34:09.324611;;;New trial;
