__UUID4__;ab90b389-f5e8-4142-91f7-903acb87fdce
__CREATED-ON__;2022-03-15 10:28:36.782224
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-15 10:28:36.782224;;;SERIAL-PORT;COM13
INFO;2022-03-15 10:28:36.782224;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-15 10:28:36.782224;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-15 10:28:36.782224;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-15 10:28:36.782224;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-15 10:28:36.782224;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-15 10:28:36.782224;;;SETUP-NAME;passive_opto_long
INFO;2022-03-15 10:28:36.782224;;;BPOD-GUI-VERSION;
INFO;2022-03-15 10:28:36.782224;;;NET-PORT;36000
INFO;2022-03-15 10:28:36.782224;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-15 10:28:37.212432;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-15 10:28:37.212432;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-15 10:28:37.212432;;;SESSION-NAME;20220315-102831
INFO;2022-03-15 10:28:37.212432;;;SESSION-STARTED;2022-03-15 10:28:36.782224
TRIAL;2022-03-15 10:28:38.902423;;;New trial;
EVENT;2022-03-15 10:28:38.912431;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:28:38.912431;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:28:38.912431;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:28:38.912431;0.0012000000000000001;;94;Port1In
