__UUID4__;f2ecdfe6-9cb6-475a-86f2-fdc850085a8e
__CREATED-ON__;2022-03-15 10:29:27.137443
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-15 10:29:27.137443;;;SERIAL-PORT;COM13
INFO;2022-03-15 10:29:27.137443;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-15 10:29:27.137443;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-15 10:29:27.137443;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-15 10:29:27.137443;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-15 10:29:27.137443;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-15 10:29:27.137443;;;SETUP-NAME;passive_opto_long
INFO;2022-03-15 10:29:27.137443;;;BPOD-GUI-VERSION;
INFO;2022-03-15 10:29:27.137443;;;NET-PORT;36000
INFO;2022-03-15 10:29:27.137443;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-15 10:29:27.557659;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-15 10:29:27.557659;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-15 10:29:27.557659;;;SESSION-NAME;20220315-102921
INFO;2022-03-15 10:29:27.557659;;;SESSION-STARTED;2022-03-15 10:29:27.127445
TRIAL;2022-03-15 10:29:29.327607;;;New trial;
EVENT;2022-03-15 10:29:29.337635;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:29:29.337635;0.0005;;94;Port1In
EVENT;2022-03-15 10:29:29.337635;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:29:29.337635;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:29:29.337635;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-15 10:29:29.337635;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:29:29.337635;0.0025;;95;Port1Out
EVENT;2022-03-15 10:29:29.337635;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-15 10:29:29.337635;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:29:29.337635;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-15 10:29:29.337635;0.004;;97;Port2Out
EVENT;2022-03-15 10:29:29.337635;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:29:29.337635;0.0041;;99;Port3Out
EVENT;2022-03-15 10:29:29.337635;0.0041;;101;Port4Out
EVENT;2022-03-15 10:29:29.337635;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:29:29.337635;0.005;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:29:29.337635;0.0055000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:29:29.337635;0.006;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:29:29.337635;0.006500000000000001;;118;GlobalTimer1_End
EVENT;2022-03-15 10:29:29.337635;0.0071;;96;Port2In
EVENT;2022-03-15 10:29:29.337635;0.0071;;98;Port3In
EVENT;2022-03-15 10:29:29.337635;0.0071;;100;Port4In
EVENT;2022-03-15 10:29:29.337635;0.01;;158;Tup
END-TRIAL;2022-03-15 10:29:29.337635;;;The trial ended;
INFO;2022-03-15 10:29:29.337635;2.088413;2.098417;TRIAL-BPOD-TIME;0.010003999999999902
STATE;2022-03-15 10:29:29.337635;0;0.01;TimerTrig;0.01
TRIAL;2022-03-15 10:29:31.617651;;;New trial;
EVENT;2022-03-15 10:29:31.627614;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:29:31.627614;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:29:31.627614;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:29:31.627614;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-15 10:29:31.627614;0.002;;102;GlobalTimer1_Start
