__UUID4__;23a050ea-57b9-4d4e-85ce-4f7099a3d2c3
__CREATED-ON__;2022-03-15 10:30:23.056804
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-15 10:30:23.056804;;;SERIAL-PORT;COM13
INFO;2022-03-15 10:30:23.056804;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-15 10:30:23.056804;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-15 10:30:23.056804;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-15 10:30:23.056804;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-15 10:30:23.056804;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-15 10:30:23.056804;;;SETUP-NAME;passive_opto_long
INFO;2022-03-15 10:30:23.056804;;;BPOD-GUI-VERSION;
INFO;2022-03-15 10:30:23.056804;;;NET-PORT;36000
INFO;2022-03-15 10:30:23.056804;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-15 10:30:23.487003;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-15 10:30:23.487003;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-15 10:30:23.487003;;;SESSION-NAME;20220315-103017
INFO;2022-03-15 10:30:23.487003;;;SESSION-STARTED;2022-03-15 10:30:23.056804
TRIAL;2022-03-15 10:30:25.377000;;;New trial;
EVENT;2022-03-15 10:30:25.387013;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:30:25.387013;0.0004;;94;Port1In
EVENT;2022-03-15 10:30:25.387013;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:30:25.387013;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:30:25.387013;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-15 10:30:25.387013;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:30:25.387013;0.0024000000000000002;;95;Port1Out
EVENT;2022-03-15 10:30:25.387013;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-15 10:30:25.387013;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:30:25.387013;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-15 10:30:25.387013;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:30:25.387013;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:30:25.387013;0.005;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:30:25.387013;0.0055000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:30:25.387013;0.006;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:30:25.387013;0.006500000000000001;;118;GlobalTimer1_End
EVENT;2022-03-15 10:30:25.387013;0.01;;158;Tup
END-TRIAL;2022-03-15 10:30:25.387013;;;The trial ended;
INFO;2022-03-15 10:30:25.387013;2.214213;2.224216;TRIAL-BPOD-TIME;0.010003000000000206
STATE;2022-03-15 10:30:25.387013;0;0.01;TimerTrig;0.01
TRIAL;2022-03-15 10:30:28.237015;;;New trial;
EVENT;2022-03-15 10:30:28.246993;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:30:28.246993;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:30:28.246993;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:30:28.246993;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-15 10:30:28.246993;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:30:28.246993;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-15 10:30:28.246993;0.0027;;94;Port1In
EVENT;2022-03-15 10:30:28.246993;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:30:28.246993;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-15 10:30:28.246993;0.004;;102;GlobalTimer1_Start
