__UUID4__;e7e28e9f-0bed-48a0-a79a-2e693cc0c588
__CREATED-ON__;2022-03-15 10:31:49.792756
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-15 10:31:49.792756;;;SERIAL-PORT;COM13
INFO;2022-03-15 10:31:49.792756;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-15 10:31:49.792756;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-15 10:31:49.792756;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-15 10:31:49.792756;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-15 10:31:49.792756;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-15 10:31:49.792756;;;SETUP-NAME;passive_opto_long
INFO;2022-03-15 10:31:49.792756;;;BPOD-GUI-VERSION;
INFO;2022-03-15 10:31:49.792756;;;NET-PORT;36000
INFO;2022-03-15 10:31:49.792756;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-15 10:31:50.212970;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-15 10:31:50.212970;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-15 10:31:50.212970;;;SESSION-NAME;20220315-103144
INFO;2022-03-15 10:31:50.212970;;;SESSION-STARTED;2022-03-15 10:31:49.792756
TRIAL;2022-03-15 10:31:51.462959;;;New trial;
EVENT;2022-03-15 10:31:51.472964;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:31:51.472964;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:31:51.472964;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:31:51.472964;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-15 10:31:51.472964;0.002;;94;Port1In
EVENT;2022-03-15 10:31:51.472964;0.002;;97;Port2Out
EVENT;2022-03-15 10:31:51.472964;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:31:51.472964;0.0021000000000000003;;99;Port3Out
EVENT;2022-03-15 10:31:51.472964;0.0021000000000000003;;101;Port4Out
EVENT;2022-03-15 10:31:51.472964;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-15 10:31:51.472964;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:31:51.472964;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-15 10:31:51.472964;0.004;;95;Port1Out
