__UUID4__;cfa74d26-7ba2-48ac-bfa2-349dbb78e27f
__CREATED-ON__;2022-03-15 10:37:50.195044
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-15 10:37:50.195044;;;SERIAL-PORT;COM13
INFO;2022-03-15 10:37:50.195044;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-15 10:37:50.195044;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-15 10:37:50.195044;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-15 10:37:50.205017;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-15 10:37:50.205017;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-15 10:37:50.205017;;;SETUP-NAME;passive_opto_long
INFO;2022-03-15 10:37:50.205017;;;BPOD-GUI-VERSION;
INFO;2022-03-15 10:37:50.205017;;;NET-PORT;36000
INFO;2022-03-15 10:37:50.205017;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-15 10:37:50.655018;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-15 10:37:50.655018;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-15 10:37:50.655018;;;SESSION-NAME;20220315-103741
INFO;2022-03-15 10:37:50.655018;;;SESSION-STARTED;2022-03-15 10:37:50.195044
TRIAL;2022-03-15 10:37:52.545020;;;New trial;
EVENT;2022-03-15 10:37:52.555019;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:37:52.555019;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:37:52.555019;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:37:52.555019;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-15 10:37:52.555019;0.0019;;96;Port2In
EVENT;2022-03-15 10:37:52.555019;0.0019;;98;Port3In
EVENT;2022-03-15 10:37:52.555019;0.0019;;100;Port4In
EVENT;2022-03-15 10:37:52.555019;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:37:52.555019;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-15 10:37:52.555019;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:37:52.555019;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-15 10:37:52.555019;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:37:52.555019;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:37:52.555019;0.005;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:37:52.555019;0.0055000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:37:52.555019;0.006;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:37:52.555019;0.006500000000000001;;118;GlobalTimer1_End
EVENT;2022-03-15 10:37:52.555019;0.01;;158;Tup
END-TRIAL;2022-03-15 10:37:52.555019;;;The trial ended;
INFO;2022-03-15 10:37:52.555019;2.231213;2.241216;TRIAL-BPOD-TIME;0.010003000000000206
STATE;2022-03-15 10:37:52.555019;0;0.01;TimerTrig;0.01
TRIAL;2022-03-15 10:37:54.575022;;;New trial;
EVENT;2022-03-15 10:37:54.585021;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:37:54.585021;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:37:54.585021;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:37:54.585021;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-15 10:37:54.585021;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:37:54.585021;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-15 10:37:54.585021;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:37:54.585021;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-15 10:37:54.585021;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:37:54.585021;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:37:54.585021;0.005;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:37:54.585021;0.0055000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:37:54.585021;0.006;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:37:54.585021;0.006500000000000001;;118;GlobalTimer1_End
EVENT;2022-03-15 10:37:54.585021;0.008;;97;Port2Out
EVENT;2022-03-15 10:37:54.585021;0.008;;99;Port3Out
EVENT;2022-03-15 10:37:54.585021;0.008;;101;Port4Out
EVENT;2022-03-15 10:37:54.585021;0.01;;158;Tup
END-TRIAL;2022-03-15 10:37:54.585021;;;The trial ended;
INFO;2022-03-15 10:37:54.585021;4.261113;4.271115;TRIAL-BPOD-TIME;0.010002000000000066
STATE;2022-03-15 10:37:54.585021;0;0.01;TimerTrig;0.01
TRIAL;2022-03-15 10:37:56.685311;;;New trial;
EVENT;2022-03-15 10:37:56.695344;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:37:56.695344;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:37:56.695344;0.001;;95;Port1Out
EVENT;2022-03-15 10:37:56.695344;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:37:56.695344;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-15 10:37:56.695344;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:37:56.695344;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-15 10:37:56.695344;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:37:56.695344;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-15 10:37:56.695344;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:37:56.695344;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:37:56.695344;0.005;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:37:56.695344;0.0055000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:37:56.695344;0.006;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:37:56.695344;0.006500000000000001;;118;GlobalTimer1_End
EVENT;2022-03-15 10:37:56.695344;0.01;;158;Tup
END-TRIAL;2022-03-15 10:37:56.695344;;;The trial ended;
INFO;2022-03-15 10:37:56.695344;6.371513;6.381515;TRIAL-BPOD-TIME;0.010002000000000066
STATE;2022-03-15 10:37:56.695344;0;0.01;TimerTrig;0.01
TRIAL;2022-03-15 10:37:59.045347;;;New trial;
EVENT;2022-03-15 10:37:59.055159;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:37:59.055159;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:37:59.055159;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:37:59.055159;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-15 10:37:59.055159;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:37:59.055159;0.0022;;94;Port1In
EVENT;2022-03-15 10:37:59.055159;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-15 10:37:59.055159;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:37:59.055159;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-15 10:37:59.055159;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:37:59.055159;0.004200000000000001;;95;Port1Out
EVENT;2022-03-15 10:37:59.055159;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:37:59.055159;0.005;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:37:59.055159;0.0055000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:37:59.055159;0.006;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:37:59.055159;0.006500000000000001;;118;GlobalTimer1_End
EVENT;2022-03-15 10:37:59.055159;0.01;;158;Tup
END-TRIAL;2022-03-15 10:37:59.055159;;;The trial ended;
INFO;2022-03-15 10:37:59.055159;8.731413;8.741416;TRIAL-BPOD-TIME;0.010002999999999318
STATE;2022-03-15 10:37:59.055159;0;0.01;TimerTrig;0.01
TRIAL;2022-03-15 10:38:01.285376;;;New trial;
EVENT;2022-03-15 10:38:01.295355;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:38:01.295355;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:38:01.295355;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:38:01.295355;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-15 10:38:01.295355;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:38:01.295355;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-15 10:38:01.295355;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:38:01.295355;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-15 10:38:01.295355;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:38:01.295355;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:38:01.295355;0.005;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:38:01.295355;0.0055000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:38:01.295355;0.006;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:38:01.295355;0.006500000000000001;;118;GlobalTimer1_End
EVENT;2022-03-15 10:38:01.295355;0.0088;;94;Port1In
EVENT;2022-03-15 10:38:01.295355;0.01;;158;Tup
END-TRIAL;2022-03-15 10:38:01.295355;;;The trial ended;
INFO;2022-03-15 10:38:01.295355;10.971413;10.981415;TRIAL-BPOD-TIME;0.010002000000000066
STATE;2022-03-15 10:38:01.295355;0;0.01;TimerTrig;0.01
TRIAL;2022-03-15 10:38:03.485367;;;New trial;
EVENT;2022-03-15 10:38:03.495353;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:38:03.495353;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:38:03.495353;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:38:03.495353;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-15 10:38:03.495353;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:38:03.495353;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-15 10:38:03.495353;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:38:03.495353;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-15 10:38:03.495353;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:38:03.495353;0.0045000000000000005;;118;GlobalTimer1_End
