__UUID4__;55b270c5-a0ba-4b01-933d-58bdce4f3694
__CREATED-ON__;2022-03-15 10:38:42.908860
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-15 10:38:42.908860;;;SERIAL-PORT;COM13
INFO;2022-03-15 10:38:42.908860;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-15 10:38:42.908860;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-15 10:38:42.908860;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-15 10:38:42.908860;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-15 10:38:42.908860;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-15 10:38:42.908860;;;SETUP-NAME;passive_opto_long
INFO;2022-03-15 10:38:42.908860;;;BPOD-GUI-VERSION;
INFO;2022-03-15 10:38:42.908860;;;NET-PORT;36000
INFO;2022-03-15 10:38:42.908860;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-15 10:38:43.339018;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-15 10:38:43.339018;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-15 10:38:43.339018;;;SESSION-NAME;20220315-103837
INFO;2022-03-15 10:38:43.339018;;;SESSION-STARTED;2022-03-15 10:38:42.908860
TRIAL;2022-03-15 10:38:44.619042;;;New trial;
EVENT;2022-03-15 10:38:44.629034;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:38:44.629034;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:38:44.629034;0.001;;102;GlobalTimer1_Start
