__UUID4__;1b2379c9-6ed9-4e04-965e-d8f0a18a134d
__CREATED-ON__;2022-03-15 10:45:11.521428
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-15 10:45:11.521428;;;SERIAL-PORT;COM13
INFO;2022-03-15 10:45:11.521428;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-15 10:45:11.521428;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-15 10:45:11.521428;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-15 10:45:11.521428;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-15 10:45:11.521428;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-15 10:45:11.521428;;;SETUP-NAME;passive_opto_long
INFO;2022-03-15 10:45:11.521428;;;BPOD-GUI-VERSION;
INFO;2022-03-15 10:45:11.521428;;;NET-PORT;36000
INFO;2022-03-15 10:45:11.521428;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-15 10:45:11.951601;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-15 10:45:11.951601;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-15 10:45:11.951601;;;SESSION-NAME;20220315-104506
INFO;2022-03-15 10:45:11.951601;;;SESSION-STARTED;2022-03-15 10:45:11.521428
TRIAL;2022-03-15 10:45:13.131578;;;New trial;
EVENT;2022-03-15 10:45:13.141610;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:45:13.141610;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:45:13.141610;0.0008;;95;Port1Out
EVENT;2022-03-15 10:45:13.141610;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:45:13.141610;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-15 10:45:13.141610;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:45:13.141610;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-15 10:45:13.141610;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:45:13.141610;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-15 10:45:13.141610;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:45:13.141610;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:45:13.141610;0.005;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:45:13.141610;0.0055000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:45:13.141610;0.006;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:45:13.141610;0.006500000000000001;;118;GlobalTimer1_End
EVENT;2022-03-15 10:45:13.141610;0.01;;158;Tup
END-TRIAL;2022-03-15 10:45:13.141610;;;The trial ended;
