__UUID4__;dda76972-5054-4557-936e-05fa63c6002d
__CREATED-ON__;2022-03-15 10:56:01.565076
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-15 10:56:01.565076;;;SERIAL-PORT;COM13
INFO;2022-03-15 10:56:01.565076;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-15 10:56:01.565076;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-15 10:56:01.565076;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-15 10:56:01.565076;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-15 10:56:01.565076;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-15 10:56:01.565076;;;SETUP-NAME;passive_opto_long
INFO;2022-03-15 10:56:01.565076;;;BPOD-GUI-VERSION;
INFO;2022-03-15 10:56:01.565076;;;NET-PORT;36000
INFO;2022-03-15 10:56:01.565076;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-15 10:56:02.001375;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-15 10:56:02.001375;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-15 10:56:02.001375;;;SESSION-NAME;20220315-105555
INFO;2022-03-15 10:56:02.001375;;;SESSION-STARTED;2022-03-15 10:56:01.565076
TRIAL;2022-03-15 10:56:03.744048;;;New trial;
EVENT;2022-03-15 10:56:03.754022;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:56:03.754022;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:56:03.754022;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:56:03.754022;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-15 10:56:03.754022;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:56:03.754022;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-15 10:56:03.754022;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:56:03.754022;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-15 10:56:03.754022;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:56:03.754022;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:56:03.754022;0.005;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:56:03.754022;0.0055000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:56:03.754022;0.006;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:56:03.754022;0.006500000000000001;;118;GlobalTimer1_End
EVENT;2022-03-15 10:56:03.754022;0.0095;;97;Port2Out
EVENT;2022-03-15 10:56:03.754022;0.009600000000000001;;99;Port3Out
EVENT;2022-03-15 10:56:03.754022;0.009600000000000001;;101;Port4Out
EVENT;2022-03-15 10:56:03.754022;0.01;;158;Tup
END-TRIAL;2022-03-15 10:56:03.754022;;;The trial ended;
INFO;2022-03-15 10:56:03.754022;2.074705;2.084709;TRIAL-BPOD-TIME;0.010004000000000346
STATE;2022-03-15 10:56:03.754022;0;0.01;TimerTrig;0.01
TRIAL;2022-03-15 10:56:06.105656;;;New trial;
EVENT;2022-03-15 10:56:06.115692;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:56:06.115692;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:56:06.115692;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:56:06.115692;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-15 10:56:06.115692;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:56:06.115692;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-15 10:56:06.115692;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:56:06.115692;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-15 10:56:06.115692;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:56:06.115692;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:56:06.115692;0.005;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:56:06.115692;0.0055000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:56:06.115692;0.006;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:56:06.115692;0.006500000000000001;;118;GlobalTimer1_End
EVENT;2022-03-15 10:56:06.115692;0.0079;;97;Port2Out
EVENT;2022-03-15 10:56:06.115692;0.008;;99;Port3Out
EVENT;2022-03-15 10:56:06.115692;0.0081;;101;Port4Out
EVENT;2022-03-15 10:56:06.115692;0.01;;158;Tup
END-TRIAL;2022-03-15 10:56:06.115692;;;The trial ended;
INFO;2022-03-15 10:56:06.115692;4.436205;4.446209;TRIAL-BPOD-TIME;0.010003999999999458
STATE;2022-03-15 10:56:06.115692;0;0.01;TimerTrig;0.01
TRIAL;2022-03-15 10:56:08.765682;;;New trial;
EVENT;2022-03-15 10:56:08.775687;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:56:08.775687;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:56:08.775687;0.0009000000000000001;;95;Port1Out
EVENT;2022-03-15 10:56:08.775687;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:56:08.775687;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-15 10:56:08.775687;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:56:08.775687;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-15 10:56:08.775687;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:56:08.775687;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-15 10:56:08.775687;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:56:08.775687;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:56:08.775687;0.005;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:56:08.775687;0.0055000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:56:08.775687;0.006;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:56:08.775687;0.006500000000000001;;118;GlobalTimer1_End
EVENT;2022-03-15 10:56:08.775687;0.0078000000000000005;;97;Port2Out
EVENT;2022-03-15 10:56:08.775687;0.0079;;99;Port3Out
EVENT;2022-03-15 10:56:08.775687;0.008;;101;Port4Out
EVENT;2022-03-15 10:56:08.775687;0.01;;158;Tup
END-TRIAL;2022-03-15 10:56:08.775687;;;The trial ended;
INFO;2022-03-15 10:56:08.775687;7.096206;7.106208;TRIAL-BPOD-TIME;0.010002000000000066
STATE;2022-03-15 10:56:08.775687;0;0.01;TimerTrig;0.01
TRIAL;2022-03-15 10:56:11.435485;;;New trial;
EVENT;2022-03-15 10:56:11.445678;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:56:11.445678;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:56:11.445678;0.0007;;100;Port4In
EVENT;2022-03-15 10:56:11.445678;0.0008;;96;Port2In
EVENT;2022-03-15 10:56:11.445678;0.0008;;98;Port3In
EVENT;2022-03-15 10:56:11.445678;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:56:11.445678;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-15 10:56:11.445678;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:56:11.445678;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-15 10:56:11.445678;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:56:11.445678;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-15 10:56:11.445678;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-15 10:56:11.445678;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-15 10:56:11.445678;0.005;;102;GlobalTimer1_Start
