__UUID4__;a179d019-31f2-483f-a23f-4ef9eb7c7703
__CREATED-ON__;2022-03-31 16:23:57.176758
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-31 16:23:57.176758;;;SERIAL-PORT;COM13
INFO;2022-03-31 16:23:57.176758;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-31 16:23:57.176758;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-31 16:23:57.176758;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-31 16:23:57.177754;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-31 16:23:57.177754;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-31 16:23:57.177754;;;SETUP-NAME;passive_opto_long
INFO;2022-03-31 16:23:57.177754;;;BPOD-GUI-VERSION;
INFO;2022-03-31 16:23:57.177754;;;NET-PORT;36000
INFO;2022-03-31 16:23:57.177754;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-31 16:23:57.612224;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-31 16:23:57.612224;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-31 16:23:57.612224;;;SESSION-NAME;20220331-162346
INFO;2022-03-31 16:23:57.612224;;;SESSION-STARTED;2022-03-31 16:23:57.176758
TRIAL;2022-03-31 16:23:59.134688;;;New trial;
EVENT;2022-03-31 16:23:59.134688;0.0005;;158;Tup
END-TRIAL;2022-03-31 16:23:59.134688;;;The trial ended;
INFO;2022-03-31 16:23:59.134688;1.855412;1.855916;TRIAL-BPOD-TIME;0.0005039999999998379
STATE;2022-03-31 16:23:59.134688;0;0.0005;opto_on;0.0005
TRIAL;2022-03-31 16:24:01.896325;;;New trial;
EVENT;2022-03-31 16:24:01.896325;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:24:01.896325;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:24:01.896325;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:24:01.896325;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:24:01.896325;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:24:01.896325;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-31 16:24:01.896325;0.0026000000000000003;;98;Port3In
EVENT;2022-03-31 16:24:01.896325;0.0026000000000000003;;100;Port4In
EVENT;2022-03-31 16:24:01.896325;0.0027;;96;Port2In
EVENT;2022-03-31 16:24:01.906122;0.01;;158;Tup
END-TRIAL;2022-03-31 16:24:01.906122;;;The trial ended;
INFO;2022-03-31 16:24:01.906122;4.617012;4.627016;TRIAL-BPOD-TIME;0.010004000000000346
STATE;2022-03-31 16:24:01.906122;0;0.01;TimerTrig;0.01
TRIAL;2022-03-31 16:24:04.276327;;;New trial;
EVENT;2022-03-31 16:24:04.286335;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:24:04.286335;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:24:04.286335;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:24:04.286335;0.0015;;118;GlobalTimer1_End
