__UUID4__;3b666f0d-6e93-4368-9cad-a3796dce6161
__CREATED-ON__;2022-03-31 16:25:27.633395
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-31 16:25:27.633395;;;SERIAL-PORT;COM13
INFO;2022-03-31 16:25:27.633395;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-31 16:25:27.633395;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-31 16:25:27.633395;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-31 16:25:27.633395;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-31 16:25:27.633395;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-31 16:25:27.633395;;;SETUP-NAME;passive_opto_long
INFO;2022-03-31 16:25:27.633395;;;BPOD-GUI-VERSION;
INFO;2022-03-31 16:25:27.633395;;;NET-PORT;36000
INFO;2022-03-31 16:25:27.633395;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-31 16:25:28.058768;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-31 16:25:28.058768;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-31 16:25:28.058768;;;SESSION-NAME;20220331-162522
INFO;2022-03-31 16:25:28.058768;;;SESSION-STARTED;2022-03-31 16:25:27.633395
TRIAL;2022-03-31 16:25:29.961325;;;New trial;
EVENT;2022-03-31 16:25:29.971340;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:25:29.971340;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:25:29.971340;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:25:29.971340;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:25:29.971340;0.002;;102;GlobalTimer1_Start
