__UUID4__;266dda91-9618-4406-89bc-fda71d85a570
__CREATED-ON__;2022-03-31 16:27:07.693784
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-31 16:27:07.693784;;;SERIAL-PORT;COM13
INFO;2022-03-31 16:27:07.693784;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-31 16:27:07.693784;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-31 16:27:07.693784;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-31 16:27:07.693784;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-31 16:27:07.693784;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-31 16:27:07.693784;;;SETUP-NAME;passive_opto_long
INFO;2022-03-31 16:27:07.693784;;;BPOD-GUI-VERSION;
INFO;2022-03-31 16:27:07.693784;;;NET-PORT;36000
INFO;2022-03-31 16:27:07.693784;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-31 16:27:08.129210;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-31 16:27:08.129210;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-31 16:27:08.129210;;;SESSION-NAME;20220331-162702
INFO;2022-03-31 16:27:08.129210;;;SESSION-STARTED;2022-03-31 16:27:07.693784
TRIAL;2022-03-31 16:27:09.871753;;;New trial;
EVENT;2022-03-31 16:27:09.881752;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:27:09.881752;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:27:09.881752;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:27:09.881752;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:27:09.881752;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:27:09.881752;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-31 16:27:09.881752;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:27:09.881752;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-31 16:27:09.881752;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:27:09.881752;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:27:09.881752;0.01;;158;Tup
END-TRIAL;2022-03-31 16:27:09.881752;;;The trial ended;
INFO;2022-03-31 16:27:09.881752;2.068812;2.078816;TRIAL-BPOD-TIME;0.010004000000000346
STATE;2022-03-31 16:27:09.881752;0;0.01;TimerTrig;0.01
TRIAL;2022-03-31 16:27:12.813374;;;New trial;
EVENT;2022-03-31 16:27:12.823190;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:27:12.823190;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:27:12.823190;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:27:12.823190;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:27:12.823190;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:27:12.823190;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-31 16:27:12.823190;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:27:12.823190;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-31 16:27:12.823190;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:27:12.823190;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:27:12.823190;0.01;;158;Tup
END-TRIAL;2022-03-31 16:27:12.823190;;;The trial ended;
INFO;2022-03-31 16:27:12.823190;5.010312;5.020316;TRIAL-BPOD-TIME;0.010004000000000346
STATE;2022-03-31 16:27:12.823190;0;0.01;TimerTrig;0.01
TRIAL;2022-03-31 16:27:15.343364;;;New trial;
EVENT;2022-03-31 16:27:15.343364;0.0005;;158;Tup
END-TRIAL;2022-03-31 16:27:15.343364;;;The trial ended;
INFO;2022-03-31 16:27:15.343364;7.540412;7.540915;TRIAL-BPOD-TIME;0.0005030000000001422
STATE;2022-03-31 16:27:15.343364;0;0.0005;opto_on;0.0005
TRIAL;2022-03-31 16:27:17.913371;;;New trial;
EVENT;2022-03-31 16:27:17.913371;0.0005;;158;Tup
END-TRIAL;2022-03-31 16:27:17.913371;;;The trial ended;
INFO;2022-03-31 16:27:17.913371;10.110212;10.110715;TRIAL-BPOD-TIME;0.0005030000000001422
STATE;2022-03-31 16:27:17.913371;0;0.0005;opto_on;0.0005
INFO;2022-03-31 16:27:18.923365;;;SESSION-ENDED;2022-03-31 16:27:18.923365
