__UUID4__;2ebf442c-8a43-4eed-9036-ba2fd0669edc
__CREATED-ON__;2022-03-31 16:28:14.057890
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-31 16:28:14.057890;;;SERIAL-PORT;COM13
INFO;2022-03-31 16:28:14.057890;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-31 16:28:14.057890;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-31 16:28:14.057890;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-31 16:28:14.057890;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-31 16:28:14.057890;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-31 16:28:14.057890;;;SETUP-NAME;passive_opto_long
INFO;2022-03-31 16:28:14.057890;;;BPOD-GUI-VERSION;
INFO;2022-03-31 16:28:14.057890;;;NET-PORT;36000
INFO;2022-03-31 16:28:14.057890;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-31 16:28:14.499567;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-31 16:28:14.499567;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-31 16:28:14.499567;;;SESSION-NAME;20220331-162808
INFO;2022-03-31 16:28:14.499567;;;SESSION-STARTED;2022-03-31 16:28:14.057890
TRIAL;2022-03-31 16:28:15.780180;;;New trial;
EVENT;2022-03-31 16:28:15.789964;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:28:15.789964;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:28:15.789964;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:28:15.789964;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:28:15.789964;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:28:15.789964;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-31 16:28:15.789964;0.003;;97;Port2Out
EVENT;2022-03-31 16:28:15.789964;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:28:15.789964;0.0031000000000000003;;99;Port3Out
EVENT;2022-03-31 16:28:15.789964;0.0031000000000000003;;101;Port4Out
EVENT;2022-03-31 16:28:15.789964;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-31 16:28:15.789964;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:28:15.789964;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:28:15.789964;0.006;;98;Port3In
EVENT;2022-03-31 16:28:15.789964;0.006;;100;Port4In
EVENT;2022-03-31 16:28:15.789964;0.0061;;96;Port2In
EVENT;2022-03-31 16:28:15.789964;0.01;;158;Tup
END-TRIAL;2022-03-31 16:28:15.789964;;;The trial ended;
INFO;2022-03-31 16:28:15.789964;1.611312;1.621315;TRIAL-BPOD-TIME;0.010002999999999984
STATE;2022-03-31 16:28:15.789964;0;0.01;TimerTrig;0.01
TRIAL;2022-03-31 16:28:18.396916;;;New trial;
EVENT;2022-03-31 16:28:18.396916;0.0005;;158;Tup
END-TRIAL;2022-03-31 16:28:18.396916;;;The trial ended;
INFO;2022-03-31 16:28:18.396916;4.228112;4.228615;TRIAL-BPOD-TIME;0.000502999999999254
STATE;2022-03-31 16:28:18.396916;0;0.0005;opto_on;0.0005
TRIAL;2022-03-31 16:28:20.833632;;;New trial;
EVENT;2022-03-31 16:28:20.843171;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:28:20.843171;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:28:20.843171;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:28:20.843171;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:28:20.844172;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:28:20.844172;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-31 16:28:20.844172;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:28:20.844172;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-31 16:28:20.844172;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:28:20.844172;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:28:20.848159;0.01;;158;Tup
END-TRIAL;2022-03-31 16:28:20.849157;;;The trial ended;
INFO;2022-03-31 16:28:20.849157;6.664512;6.674516;TRIAL-BPOD-TIME;0.010003999999999458
STATE;2022-03-31 16:28:20.849157;0;0.01;TimerTrig;0.01
TRIAL;2022-03-31 16:28:22.896404;;;New trial;
EVENT;2022-03-31 16:28:22.896404;0.0005;;158;Tup
END-TRIAL;2022-03-31 16:28:22.896404;;;The trial ended;
INFO;2022-03-31 16:28:22.896404;8.727412;8.727915;TRIAL-BPOD-TIME;0.0005030000000001422
STATE;2022-03-31 16:28:22.896404;0;0.0005;opto_on;0.0005
INFO;2022-03-31 16:28:23.906294;;;SESSION-ENDED;2022-03-31 16:28:23.906294
