__UUID4__;60019c05-c68f-4478-8e3c-49e15555a940
__CREATED-ON__;2022-03-31 16:29:41.744024
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-31 16:29:41.744024;;;SERIAL-PORT;COM13
INFO;2022-03-31 16:29:41.744024;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-31 16:29:41.744024;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-31 16:29:41.744024;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-31 16:29:41.744024;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-31 16:29:41.744024;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-31 16:29:41.744024;;;SETUP-NAME;passive_opto_long
INFO;2022-03-31 16:29:41.744024;;;BPOD-GUI-VERSION;
INFO;2022-03-31 16:29:41.744024;;;NET-PORT;36000
INFO;2022-03-31 16:29:41.744024;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-31 16:29:42.169336;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-31 16:29:42.169336;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-31 16:29:42.169336;;;SESSION-NAME;20220331-162936
INFO;2022-03-31 16:29:42.169336;;;SESSION-STARTED;2022-03-31 16:29:41.744024
TRIAL;2022-03-31 16:29:43.331952;;;New trial;
EVENT;2022-03-31 16:29:43.341956;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:29:43.341956;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:29:43.341956;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:29:43.341956;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:29:43.341956;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:29:43.341956;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-31 16:29:43.341956;0.0029000000000000002;;96;Port2In
EVENT;2022-03-31 16:29:43.341956;0.0029000000000000002;;98;Port3In
EVENT;2022-03-31 16:29:43.341956;0.0029000000000000002;;100;Port4In
EVENT;2022-03-31 16:29:43.341956;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:29:43.341956;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-31 16:29:43.341956;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:29:43.341956;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:29:43.341956;0.005;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:29:43.341956;0.0055000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:29:43.341956;0.01;;158;Tup
END-TRIAL;2022-03-31 16:29:43.341956;;;The trial ended;
INFO;2022-03-31 16:29:43.341956;1.482212;1.492215;TRIAL-BPOD-TIME;0.010002999999999984
STATE;2022-03-31 16:29:43.341956;0;0.01;TimerTrig;0.01
INFO;2022-03-31 16:29:44.351950;;;SESSION-ENDED;2022-03-31 16:29:44.351950
