__UUID4__;dd86a940-cfaa-4dd4-8736-ed3c4790ad44
__CREATED-ON__;2022-03-31 16:30:05.956653
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-31 16:30:05.956653;;;SERIAL-PORT;COM13
INFO;2022-03-31 16:30:05.956653;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-31 16:30:05.956653;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-31 16:30:05.956653;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-31 16:30:05.956653;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-31 16:30:05.956653;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-31 16:30:05.956653;;;SETUP-NAME;passive_opto_long
INFO;2022-03-31 16:30:05.956653;;;BPOD-GUI-VERSION;
INFO;2022-03-31 16:30:05.956653;;;NET-PORT;36000
INFO;2022-03-31 16:30:05.956653;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-31 16:30:06.392011;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-31 16:30:06.392011;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-31 16:30:06.392011;;;SESSION-NAME;20220331-163000
INFO;2022-03-31 16:30:06.392011;;;SESSION-STARTED;2022-03-31 16:30:05.956653
TRIAL;2022-03-31 16:30:07.634418;;;New trial;
EVENT;2022-03-31 16:30:07.644600;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:07.644600;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:07.644600;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:07.644600;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:07.644600;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:07.644600;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:07.644600;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:07.644600;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:07.644600;0.0036000000000000003;;97;Port2Out
EVENT;2022-03-31 16:30:07.644600;0.0037;;99;Port3Out
EVENT;2022-03-31 16:30:07.644600;0.0037;;101;Port4Out
EVENT;2022-03-31 16:30:07.644600;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:07.644600;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:07.644600;0.005;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:07.644600;0.0055000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:07.644600;0.0067;;96;Port2In
EVENT;2022-03-31 16:30:07.644600;0.0067;;98;Port3In
EVENT;2022-03-31 16:30:07.644600;0.0067;;100;Port4In
EVENT;2022-03-31 16:30:07.644600;0.01;;158;Tup
END-TRIAL;2022-03-31 16:30:07.644600;;;The trial ended;
INFO;2022-03-31 16:30:07.644600;1.570711;1.580714;TRIAL-BPOD-TIME;0.010002999999999984
STATE;2022-03-31 16:30:07.644600;0;0.01;TimerTrig;0.01
TRIAL;2022-03-31 16:30:10.546204;;;New trial;
EVENT;2022-03-31 16:30:10.556210;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:10.556210;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:10.556210;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:10.556210;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:10.556210;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:10.556210;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:10.556210;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:10.556210;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:10.556210;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:10.556210;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:10.556210;0.005;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:10.556210;0.0055000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:10.556210;0.01;;158;Tup
END-TRIAL;2022-03-31 16:30:10.556210;;;The trial ended;
INFO;2022-03-31 16:30:10.556210;4.482612;4.492615;TRIAL-BPOD-TIME;0.010003000000000206
STATE;2022-03-31 16:30:10.556210;0;0.01;TimerTrig;0.01
TRIAL;2022-03-31 16:30:12.866211;;;New trial;
EVENT;2022-03-31 16:30:12.876207;0.0001;;102;GlobalTimer1_Start
