__UUID4__;310271fc-cf7b-4765-bdaa-0d6ff7b36cc7
__CREATED-ON__;2022-03-31 16:30:42.136459
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-31 16:30:42.136459;;;SERIAL-PORT;COM13
INFO;2022-03-31 16:30:42.136459;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-31 16:30:42.136459;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-31 16:30:42.136459;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-31 16:30:42.136459;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-31 16:30:42.136459;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-31 16:30:42.136459;;;SETUP-NAME;passive_opto_long
INFO;2022-03-31 16:30:42.136459;;;BPOD-GUI-VERSION;
INFO;2022-03-31 16:30:42.136459;;;NET-PORT;36000
INFO;2022-03-31 16:30:42.136459;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-31 16:30:42.559281;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-31 16:30:42.559281;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-31 16:30:42.559281;;;SESSION-NAME;20220331-163036
INFO;2022-03-31 16:30:42.559281;;;SESSION-STARTED;2022-03-31 16:30:42.136459
TRIAL;2022-03-31 16:30:43.724468;;;New trial;
EVENT;2022-03-31 16:30:43.734477;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:43.734477;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:43.734477;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:43.734477;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:43.734477;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:43.734477;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:43.734477;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:43.734477;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:43.734477;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:43.734477;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:43.734477;0.005;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:43.734477;0.0055000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:43.734477;0.01;;158;Tup
END-TRIAL;2022-03-31 16:30:43.734477;;;The trial ended;
INFO;2022-03-31 16:30:43.734477;1.482813;1.492816;TRIAL-BPOD-TIME;0.010002999999999984
STATE;2022-03-31 16:30:43.734477;0;0.01;TimerTrig;0.01
TRIAL;2022-03-31 16:30:46.485922;;;New trial;
EVENT;2022-03-31 16:30:46.495939;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:46.495939;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:46.495939;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:46.495939;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:46.495939;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:46.495939;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:46.495939;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:46.495939;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:46.495939;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:46.495939;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:46.495939;0.005;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:46.495939;0.0055000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:46.495939;0.01;;158;Tup
END-TRIAL;2022-03-31 16:30:46.495939;;;The trial ended;
INFO;2022-03-31 16:30:46.495939;4.244112;4.254115;TRIAL-BPOD-TIME;0.010002999999999318
STATE;2022-03-31 16:30:46.495939;0;0.01;TimerTrig;0.01
TRIAL;2022-03-31 16:30:48.815885;;;New trial;
EVENT;2022-03-31 16:30:48.825931;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:48.825931;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:48.825931;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:48.825931;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:48.825931;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:48.825931;0.0025;;97;Port2Out
EVENT;2022-03-31 16:30:48.825931;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:48.825931;0.0026000000000000003;;99;Port3Out
EVENT;2022-03-31 16:30:48.825931;0.0026000000000000003;;101;Port4Out
EVENT;2022-03-31 16:30:48.825931;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:48.825931;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:48.825931;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:48.825931;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:48.825931;0.005;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:48.825931;0.0055000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:48.825931;0.0056;;96;Port2In
EVENT;2022-03-31 16:30:48.825931;0.0056;;98;Port3In
EVENT;2022-03-31 16:30:48.825931;0.0056;;100;Port4In
EVENT;2022-03-31 16:30:48.825931;0.01;;158;Tup
END-TRIAL;2022-03-31 16:30:48.825931;;;The trial ended;
INFO;2022-03-31 16:30:48.825931;6.574112;6.584115;TRIAL-BPOD-TIME;0.010002999999999318
STATE;2022-03-31 16:30:48.825931;0;0.01;TimerTrig;0.01
TRIAL;2022-03-31 16:30:51.215928;;;New trial;
EVENT;2022-03-31 16:30:51.225901;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:51.225901;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:51.225901;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:51.225901;0.0012000000000000001;;97;Port2Out
EVENT;2022-03-31 16:30:51.225901;0.0013000000000000002;;99;Port3Out
EVENT;2022-03-31 16:30:51.225901;0.0013000000000000002;;101;Port4Out
EVENT;2022-03-31 16:30:51.225901;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:51.225901;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:51.225901;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:51.225901;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:51.225901;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:51.225901;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:51.225901;0.0043;;96;Port2In
EVENT;2022-03-31 16:30:51.225901;0.0043;;98;Port3In
EVENT;2022-03-31 16:30:51.225901;0.0043;;100;Port4In
EVENT;2022-03-31 16:30:51.225901;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:51.225901;0.005;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:51.225901;0.0055000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:51.225901;0.01;;158;Tup
END-TRIAL;2022-03-31 16:30:51.225901;;;The trial ended;
INFO;2022-03-31 16:30:51.225901;8.974112;8.984115;TRIAL-BPOD-TIME;0.010002999999999318
STATE;2022-03-31 16:30:51.225901;0;0.01;TimerTrig;0.01
TRIAL;2022-03-31 16:30:54.225921;;;New trial;
EVENT;2022-03-31 16:30:54.235925;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:54.235925;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:54.235925;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:54.235925;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:54.235925;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:54.235925;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:54.235925;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:54.235925;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:54.235925;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:54.235925;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:54.235925;0.005;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:54.235925;0.0055000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:54.235925;0.0095;;97;Port2Out
EVENT;2022-03-31 16:30:54.235925;0.009600000000000001;;99;Port3Out
EVENT;2022-03-31 16:30:54.235925;0.009600000000000001;;101;Port4Out
EVENT;2022-03-31 16:30:54.235925;0.01;;158;Tup
END-TRIAL;2022-03-31 16:30:54.235925;;;The trial ended;
INFO;2022-03-31 16:30:54.235925;11.984112;11.994115;TRIAL-BPOD-TIME;0.010003000000001094
STATE;2022-03-31 16:30:54.235925;0;0.01;TimerTrig;0.01
TRIAL;2022-03-31 16:30:56.815922;;;New trial;
EVENT;2022-03-31 16:30:56.825916;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:56.825916;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:56.825916;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:56.825916;0.0012000000000000001;;96;Port2In
EVENT;2022-03-31 16:30:56.825916;0.0012000000000000001;;98;Port3In
EVENT;2022-03-31 16:30:56.825916;0.0012000000000000001;;100;Port4In
EVENT;2022-03-31 16:30:56.825916;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:56.825916;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:56.825916;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:56.825916;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:56.825916;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:56.825916;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:56.825916;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:56.825916;0.005;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:56.825916;0.0055000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:56.825916;0.01;;158;Tup
END-TRIAL;2022-03-31 16:30:56.825916;;;The trial ended;
INFO;2022-03-31 16:30:56.825916;14.574112;14.584115;TRIAL-BPOD-TIME;0.010003000000001094
STATE;2022-03-31 16:30:56.825916;0;0.01;TimerTrig;0.01
TRIAL;2022-03-31 16:30:59.515916;;;New trial;
EVENT;2022-03-31 16:30:59.525922;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:59.525922;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:59.525922;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:59.525922;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:59.525922;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:59.525922;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:59.525922;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:59.525922;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:59.525922;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:59.525922;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:59.525922;0.005;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:30:59.525922;0.0055000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:30:59.525922;0.01;;158;Tup
END-TRIAL;2022-03-31 16:30:59.525922;;;The trial ended;
INFO;2022-03-31 16:30:59.525922;17.274112;17.284115;TRIAL-BPOD-TIME;0.010003000000001094
STATE;2022-03-31 16:30:59.525922;0;0.01;TimerTrig;0.01
TRIAL;2022-03-31 16:31:01.625926;;;New trial;
EVENT;2022-03-31 16:31:01.635896;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:31:01.635896;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:31:01.635896;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:31:01.635896;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:31:01.635896;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:31:01.635896;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-31 16:31:01.635896;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:31:01.635896;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-31 16:31:01.635896;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:31:01.635896;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:31:01.635896;0.005;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:31:01.635896;0.0055000000000000005;;97;Port2Out
EVENT;2022-03-31 16:31:01.635896;0.0055000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:31:01.635896;0.0056;;99;Port3Out
EVENT;2022-03-31 16:31:01.635896;0.0056;;101;Port4Out
EVENT;2022-03-31 16:31:01.635896;0.0086;;96;Port2In
EVENT;2022-03-31 16:31:01.635896;0.0086;;98;Port3In
EVENT;2022-03-31 16:31:01.635896;0.0086;;100;Port4In
EVENT;2022-03-31 16:31:01.635896;0.01;;158;Tup
END-TRIAL;2022-03-31 16:31:01.635896;;;The trial ended;
INFO;2022-03-31 16:31:01.635896;19.384112;19.394115;TRIAL-BPOD-TIME;0.010003000000001094
STATE;2022-03-31 16:31:01.635896;0;0.01;TimerTrig;0.01
TRIAL;2022-03-31 16:31:04.475865;;;New trial;
EVENT;2022-03-31 16:31:04.485901;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:31:04.485901;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:31:04.485901;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:31:04.485901;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:31:04.485901;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:31:04.485901;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-31 16:31:04.485901;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:31:04.485901;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-31 16:31:04.485901;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:31:04.485901;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:31:04.485901;0.005;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:31:04.485901;0.0055000000000000005;;118;GlobalTimer1_End
