__UUID4__;da631f73-f738-4da8-9e20-fdd7d8938dc5
__CREATED-ON__;2022-03-31 16:32:09.371003
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-31 16:32:09.371003;;;SERIAL-PORT;COM13
INFO;2022-03-31 16:32:09.371003;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-31 16:32:09.371003;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-31 16:32:09.371003;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-31 16:32:09.371003;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-31 16:32:09.371003;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-31 16:32:09.371003;;;SETUP-NAME;passive_opto_long
INFO;2022-03-31 16:32:09.371003;;;BPOD-GUI-VERSION;
INFO;2022-03-31 16:32:09.371003;;;NET-PORT;36000
INFO;2022-03-31 16:32:09.371003;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-31 16:32:09.793804;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-31 16:32:09.793804;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-31 16:32:09.793804;;;SESSION-NAME;20220331-163204
INFO;2022-03-31 16:32:09.793804;;;SESSION-STARTED;2022-03-31 16:32:09.371003
TRIAL;2022-03-31 16:32:11.718793;;;New trial;
EVENT;2022-03-31 16:32:11.728798;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:32:11.728798;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:32:11.728798;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:32:11.728798;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:32:11.728798;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:32:11.728798;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-31 16:32:11.728798;0.0026000000000000003;;97;Port2Out
EVENT;2022-03-31 16:32:11.728798;0.0027;;99;Port3Out
EVENT;2022-03-31 16:32:11.728798;0.0027;;101;Port4Out
EVENT;2022-03-31 16:32:11.728798;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:32:11.728798;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-31 16:32:11.728798;0.004;;102;GlobalTimer1_Start
