__UUID4__;1c520d0a-1898-45b0-90b5-e55cf47c5d17
__CREATED-ON__;2022-03-31 16:33:20.700916
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-31 16:33:20.700916;;;SERIAL-PORT;COM13
INFO;2022-03-31 16:33:20.700916;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-31 16:33:20.700916;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-31 16:33:20.700916;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-31 16:33:20.700916;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-31 16:33:20.700916;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-31 16:33:20.700916;;;SETUP-NAME;passive_opto_long
INFO;2022-03-31 16:33:20.700916;;;BPOD-GUI-VERSION;
INFO;2022-03-31 16:33:20.700916;;;NET-PORT;36000
INFO;2022-03-31 16:33:20.700916;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-31 16:33:21.136038;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-31 16:33:21.136038;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-31 16:33:21.136038;;;SESSION-NAME;20220331-163315
INFO;2022-03-31 16:33:21.136038;;;SESSION-STARTED;2022-03-31 16:33:20.700916
TRIAL;2022-03-31 16:33:22.148629;;;New trial;
EVENT;2022-03-31 16:33:22.158629;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:33:22.158629;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:33:22.158629;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:33:22.158629;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:33:22.158629;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:33:22.158629;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-31 16:33:22.158629;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:33:22.158629;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-31 16:33:22.158629;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:33:22.158629;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:33:22.158629;0.01;;158;Tup
END-TRIAL;2022-03-31 16:33:22.158629;;;The trial ended;
INFO;2022-03-31 16:33:22.158629;1.337212;1.347216;TRIAL-BPOD-TIME;0.010003999999999902
STATE;2022-03-31 16:33:22.158629;0;0.01;TimerTrig;0.01
TRIAL;2022-03-31 16:33:24.200246;;;New trial;
EVENT;2022-03-31 16:33:24.210038;0.0001;;102;GlobalTimer1_Start
