__UUID4__;c246670a-b053-4ef0-afaa-e5f756d56de4
__CREATED-ON__;2022-03-31 16:33:54.761902
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-31 16:33:54.761902;;;SERIAL-PORT;COM13
INFO;2022-03-31 16:33:54.761902;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-31 16:33:54.761902;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-31 16:33:54.761902;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-31 16:33:54.761902;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-31 16:33:54.761902;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-31 16:33:54.761902;;;SETUP-NAME;passive_opto_long
INFO;2022-03-31 16:33:54.761902;;;BPOD-GUI-VERSION;
INFO;2022-03-31 16:33:54.761902;;;NET-PORT;36000
INFO;2022-03-31 16:33:54.761902;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-31 16:33:55.194640;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-31 16:33:55.194640;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-31 16:33:55.194640;;;SESSION-NAME;20220331-163349
INFO;2022-03-31 16:33:55.194640;;;SESSION-STARTED;2022-03-31 16:33:54.761902
TRIAL;2022-03-31 16:33:56.563016;;;New trial;
EVENT;2022-03-31 16:33:56.563016;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:33:56.563016;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:33:56.563016;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:33:56.563016;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:33:56.563016;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:33:56.563016;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-31 16:33:56.572802;0.01;;158;Tup
END-TRIAL;2022-03-31 16:33:56.572802;;;The trial ended;
INFO;2022-03-31 16:33:56.572802;1.690612;1.700616;TRIAL-BPOD-TIME;0.010003999999999902
STATE;2022-03-31 16:33:56.572802;0;0.01;TimerTrig;0.01
TRIAL;2022-03-31 16:33:58.634573;;;New trial;
EVENT;2022-03-31 16:33:58.644576;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:33:58.644576;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:33:58.644576;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:33:58.644576;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:33:58.644576;0.0018000000000000002;;97;Port2Out
EVENT;2022-03-31 16:33:58.644576;0.0019;;99;Port3Out
EVENT;2022-03-31 16:33:58.644576;0.0019;;101;Port4Out
