__UUID4__;156a8aa5-1f9d-4e3c-a1ed-dd59b2a81ca0
__CREATED-ON__;2022-03-31 16:34:42.756215
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-31 16:34:42.756215;;;SERIAL-PORT;COM13
INFO;2022-03-31 16:34:42.756215;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-31 16:34:42.756215;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-31 16:34:42.756215;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-31 16:34:42.756215;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-31 16:34:42.756215;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-31 16:34:42.756215;;;SETUP-NAME;passive_opto_long
INFO;2022-03-31 16:34:42.756215;;;BPOD-GUI-VERSION;
INFO;2022-03-31 16:34:42.756215;;;NET-PORT;36000
INFO;2022-03-31 16:34:42.756215;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-31 16:34:43.181427;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-31 16:34:43.181427;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-31 16:34:43.181427;;;SESSION-NAME;20220331-163437
INFO;2022-03-31 16:34:43.181427;;;SESSION-STARTED;2022-03-31 16:34:42.746248
TRIAL;2022-03-31 16:34:44.324040;;;New trial;
EVENT;2022-03-31 16:34:44.334039;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:34:44.334039;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:34:44.334039;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:34:44.334039;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:34:44.334039;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:34:44.334039;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-31 16:34:44.334039;0.004;;97;Port2Out
EVENT;2022-03-31 16:34:44.334039;0.004;;99;Port3Out
EVENT;2022-03-31 16:34:44.334039;0.004;;101;Port4Out
EVENT;2022-03-31 16:34:44.334039;0.007;;96;Port2In
EVENT;2022-03-31 16:34:44.334039;0.007;;98;Port3In
EVENT;2022-03-31 16:34:44.334039;0.007;;100;Port4In
EVENT;2022-03-31 16:34:44.334039;0.01;;158;Tup
END-TRIAL;2022-03-31 16:34:44.334039;;;The trial ended;
INFO;2022-03-31 16:34:44.334039;1.466111;1.476115;TRIAL-BPOD-TIME;0.010004000000000124
STATE;2022-03-31 16:34:44.334039;0;0.01;TimerTrig;0.01
TRIAL;2022-03-31 16:34:46.625630;;;New trial;
EVENT;2022-03-31 16:34:46.635646;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:34:46.635646;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:34:46.635646;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:34:46.635646;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:34:46.635646;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:34:46.635646;0.0025;;97;Port2Out
EVENT;2022-03-31 16:34:46.635646;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-31 16:34:46.635646;0.0026000000000000003;;99;Port3Out
EVENT;2022-03-31 16:34:46.635646;0.0026000000000000003;;101;Port4Out
