__UUID4__;d8309312-c6d6-4bce-9dfd-9ef151def36c
__CREATED-ON__;2022-03-31 16:35:19.434678
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-31 16:35:19.434678;;;SERIAL-PORT;COM13
INFO;2022-03-31 16:35:19.434678;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-31 16:35:19.434678;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-31 16:35:19.434678;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-31 16:35:19.434678;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-31 16:35:19.434678;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-31 16:35:19.434678;;;SETUP-NAME;passive_opto_long
INFO;2022-03-31 16:35:19.434678;;;BPOD-GUI-VERSION;
INFO;2022-03-31 16:35:19.434678;;;NET-PORT;36000
INFO;2022-03-31 16:35:19.434678;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-31 16:35:19.869852;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-31 16:35:19.869852;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-31 16:35:19.869852;;;SESSION-NAME;20220331-163513
INFO;2022-03-31 16:35:19.869852;;;SESSION-STARTED;2022-03-31 16:35:19.434678
TRIAL;2022-03-31 16:35:21.002434;;;New trial;
EVENT;2022-03-31 16:35:21.002434;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:35:21.002434;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:35:21.002434;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:35:21.002434;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:35:21.012219;0.01;;158;Tup
END-TRIAL;2022-03-31 16:35:21.012219;;;The trial ended;
INFO;2022-03-31 16:35:21.012219;1.458712;1.468716;TRIAL-BPOD-TIME;0.010003999999999902
STATE;2022-03-31 16:35:21.012219;0;0.01;TimerTrig;0.01
TRIAL;2022-03-31 16:35:23.924043;;;New trial;
EVENT;2022-03-31 16:35:23.924043;0.0005;;158;Tup
END-TRIAL;2022-03-31 16:35:23.924043;;;The trial ended;
INFO;2022-03-31 16:35:23.924043;4.380212;4.380715;TRIAL-BPOD-TIME;0.0005030000000001422
STATE;2022-03-31 16:35:23.924043;0;0.0005;opto_on;0.0005
TRIAL;2022-03-31 16:35:26.184041;;;New trial;
EVENT;2022-03-31 16:35:26.184041;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:35:26.184041;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:35:26.184041;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:35:26.184041;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:35:26.193826;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:35:26.193826;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-31 16:35:26.193826;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:35:26.193826;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-31 16:35:26.193826;0.01;;158;Tup
END-TRIAL;2022-03-31 16:35:26.193826;;;The trial ended;
INFO;2022-03-31 16:35:26.193826;6.640212;6.650216;TRIAL-BPOD-TIME;0.010004000000000346
STATE;2022-03-31 16:35:26.193826;0;0.01;TimerTrig;0.01
TRIAL;2022-03-31 16:35:28.244044;;;New trial;
EVENT;2022-03-31 16:35:28.244044;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:35:28.244044;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:35:28.244044;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:35:28.244044;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:35:28.244044;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:35:28.244044;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-31 16:35:28.253824;0.01;;158;Tup
END-TRIAL;2022-03-31 16:35:28.253824;;;The trial ended;
INFO;2022-03-31 16:35:28.253824;8.700212;8.710216;TRIAL-BPOD-TIME;0.010004000000000346
STATE;2022-03-31 16:35:28.253824;0;0.01;TimerTrig;0.01
INFO;2022-03-31 16:35:29.254031;;;SESSION-ENDED;2022-03-31 16:35:29.254031
