__UUID4__;c2231755-0f79-40db-849a-acfbaf54193a
__CREATED-ON__;2022-03-31 16:36:24.894141
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-31 16:36:24.894141;;;SERIAL-PORT;COM13
INFO;2022-03-31 16:36:24.894141;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-31 16:36:24.894141;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-31 16:36:24.894141;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-31 16:36:24.894141;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-31 16:36:24.894141;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-31 16:36:24.894141;;;SETUP-NAME;passive_opto_long
INFO;2022-03-31 16:36:24.894141;;;BPOD-GUI-VERSION;
INFO;2022-03-31 16:36:24.894141;;;NET-PORT;36000
INFO;2022-03-31 16:36:24.894141;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-31 16:36:25.326956;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-31 16:36:25.326956;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-31 16:36:25.326956;;;SESSION-NAME;20220331-163619
INFO;2022-03-31 16:36:25.326956;;;SESSION-STARTED;2022-03-31 16:36:24.894141
TRIAL;2022-03-31 16:36:26.522034;;;New trial;
EVENT;2022-03-31 16:36:26.522034;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:36:26.522034;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:36:26.522034;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:36:26.522034;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:36:26.522034;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:36:26.531818;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-31 16:36:26.531818;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:36:26.531818;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-31 16:36:26.531818;0.01;;158;Tup
END-TRIAL;2022-03-31 16:36:26.531818;;;The trial ended;
INFO;2022-03-31 16:36:26.531818;1.521412;1.531416;TRIAL-BPOD-TIME;0.010004000000000124
STATE;2022-03-31 16:36:26.531818;0;0.01;TimerTrig;0.01
TRIAL;2022-03-31 16:36:28.693460;;;New trial;
EVENT;2022-03-31 16:36:28.703640;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:36:28.703640;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:36:28.703640;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:36:28.703640;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:36:28.703640;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:36:28.703640;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-31 16:36:28.703640;0.004;;97;Port2Out
EVENT;2022-03-31 16:36:28.703640;0.0041;;99;Port3Out
EVENT;2022-03-31 16:36:28.703640;0.0041;;101;Port4Out
EVENT;2022-03-31 16:36:28.703640;0.007;;96;Port2In
EVENT;2022-03-31 16:36:28.703640;0.007;;98;Port3In
EVENT;2022-03-31 16:36:28.703640;0.007;;100;Port4In
EVENT;2022-03-31 16:36:28.703640;0.01;;158;Tup
END-TRIAL;2022-03-31 16:36:28.703640;;;The trial ended;
INFO;2022-03-31 16:36:28.703640;3.692712;3.702715;TRIAL-BPOD-TIME;0.010002999999999762
STATE;2022-03-31 16:36:28.703640;0;0.01;TimerTrig;0.01
TRIAL;2022-03-31 16:36:31.263592;;;New trial;
EVENT;2022-03-31 16:36:31.263592;0.0005;;158;Tup
END-TRIAL;2022-03-31 16:36:31.263592;;;The trial ended;
INFO;2022-03-31 16:36:31.263592;6.262812;6.263315;TRIAL-BPOD-TIME;0.0005030000000001422
STATE;2022-03-31 16:36:31.263592;0;0.0005;opto_on;0.0005
TRIAL;2022-03-31 16:36:33.843626;;;New trial;
EVENT;2022-03-31 16:36:33.843626;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:36:33.843626;0.0004;;98;Port3In
EVENT;2022-03-31 16:36:33.843626;0.0004;;100;Port4In
EVENT;2022-03-31 16:36:33.843626;0.0005;;96;Port2In
EVENT;2022-03-31 16:36:33.843626;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:36:33.843626;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:36:33.843626;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:36:33.853421;0.01;;158;Tup
END-TRIAL;2022-03-31 16:36:33.853421;;;The trial ended;
INFO;2022-03-31 16:36:33.853421;8.842912;8.852916;TRIAL-BPOD-TIME;0.010004000000000346
STATE;2022-03-31 16:36:33.853421;0;0.01;TimerTrig;0.01
INFO;2022-03-31 16:36:34.853630;;;SESSION-ENDED;2022-03-31 16:36:34.853630
