__UUID4__;834a637d-7b93-4a66-8ffa-732c9f38664b
__CREATED-ON__;2022-03-31 16:40:21.780301
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-31 16:40:21.780301;;;SERIAL-PORT;COM13
INFO;2022-03-31 16:40:21.780301;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-31 16:40:21.780301;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-31 16:40:21.780301;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-31 16:40:21.780301;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-31 16:40:21.780301;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-31 16:40:21.780301;;;SETUP-NAME;passive_opto_long
INFO;2022-03-31 16:40:21.780301;;;BPOD-GUI-VERSION;
INFO;2022-03-31 16:40:21.780301;;;NET-PORT;36000
INFO;2022-03-31 16:40:21.780301;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-31 16:40:22.215537;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-31 16:40:22.215537;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-31 16:40:22.215537;;;SESSION-NAME;20220331-164016
INFO;2022-03-31 16:40:22.215537;;;SESSION-STARTED;2022-03-31 16:40:21.780301
TRIAL;2022-03-31 16:40:23.508074;;;New trial;
EVENT;2022-03-31 16:40:23.518080;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:40:23.518080;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:40:23.518080;0.0008;;98;Port3In
EVENT;2022-03-31 16:40:23.518080;0.0008;;100;Port4In
EVENT;2022-03-31 16:40:23.518080;0.0009000000000000001;;96;Port2In
EVENT;2022-03-31 16:40:23.518080;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:40:23.518080;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:40:23.518080;0.002;;102;GlobalTimer1_Start
