__UUID4__;b2809547-6e6c-4a67-a56d-924cc39ddb00
__CREATED-ON__;2022-03-31 16:41:04.990608
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-31 16:41:04.990608;;;SERIAL-PORT;COM13
INFO;2022-03-31 16:41:04.990608;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-31 16:41:04.990608;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-31 16:41:04.990608;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-31 16:41:05.000606;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-31 16:41:05.000606;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-31 16:41:05.000606;;;SETUP-NAME;passive_opto_long
INFO;2022-03-31 16:41:05.000606;;;BPOD-GUI-VERSION;
INFO;2022-03-31 16:41:05.000606;;;NET-PORT;36000
INFO;2022-03-31 16:41:05.000606;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-31 16:41:05.425915;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-31 16:41:05.425915;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-31 16:41:05.425915;;;SESSION-NAME;20220331-164059
INFO;2022-03-31 16:41:05.425915;;;SESSION-STARTED;2022-03-31 16:41:04.990608
TRIAL;2022-03-31 16:41:07.298452;;;New trial;
EVENT;2022-03-31 16:41:07.308465;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:41:07.308465;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:41:07.308465;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:41:07.308465;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:41:07.308465;0.0019;;98;Port3In
EVENT;2022-03-31 16:41:07.308465;0.0019;;100;Port4In
EVENT;2022-03-31 16:41:07.308465;0.002;;96;Port2In
EVENT;2022-03-31 16:41:07.308465;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:41:07.308465;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-31 16:41:07.308465;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:41:07.308465;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-31 16:41:07.308465;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:41:07.308465;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:41:07.308465;0.01;;158;Tup
END-TRIAL;2022-03-31 16:41:07.308465;;;The trial ended;
INFO;2022-03-31 16:41:07.308465;2.196512;2.206516;TRIAL-BPOD-TIME;0.010004000000000346
STATE;2022-03-31 16:41:07.308465;0;0.01;TimerTrig;0.01
TRIAL;2022-03-31 16:41:09.790053;;;New trial;
EVENT;2022-03-31 16:41:09.790053;0.0005;;158;Tup
END-TRIAL;2022-03-31 16:41:09.790053;;;The trial ended;
INFO;2022-03-31 16:41:09.790053;4.688112;4.688616;TRIAL-BPOD-TIME;0.0005039999999993938
STATE;2022-03-31 16:41:09.790053;0;0.0005;opto_on;0.0005
INFO;2022-03-31 16:41:10.800051;;;SESSION-ENDED;2022-03-31 16:41:10.800051
