__UUID4__;483dc27b-26eb-42b0-86d8-4721ee468919
__CREATED-ON__;2022-03-31 16:41:55.120548
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-31 16:41:55.120548;;;SERIAL-PORT;COM13
INFO;2022-03-31 16:41:55.120548;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-31 16:41:55.120548;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-31 16:41:55.120548;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-31 16:41:55.120548;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-31 16:41:55.120548;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-31 16:41:55.120548;;;SETUP-NAME;passive_opto_long
INFO;2022-03-31 16:41:55.120548;;;BPOD-GUI-VERSION;
INFO;2022-03-31 16:41:55.120548;;;NET-PORT;36000
INFO;2022-03-31 16:41:55.120548;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-31 16:41:55.555747;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-31 16:41:55.555747;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-31 16:41:55.555747;;;SESSION-NAME;20220331-164149
INFO;2022-03-31 16:41:55.555747;;;SESSION-STARTED;2022-03-31 16:41:55.120548
TRIAL;2022-03-31 16:41:57.528301;;;New trial;
EVENT;2022-03-31 16:41:57.528301;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:41:57.538093;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:41:57.538093;0.0008;;98;Port3In
EVENT;2022-03-31 16:41:57.538093;0.0008;;100;Port4In
EVENT;2022-03-31 16:41:57.538093;0.0009000000000000001;;96;Port2In
EVENT;2022-03-31 16:41:57.538093;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:41:57.538093;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:41:57.538093;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:41:57.538093;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-31 16:41:57.538093;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:41:57.538093;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-31 16:41:57.538093;0.01;;158;Tup
END-TRIAL;2022-03-31 16:41:57.538093;;;The trial ended;
INFO;2022-03-31 16:41:57.538093;2.298712;2.308716;TRIAL-BPOD-TIME;0.010003999999999902
STATE;2022-03-31 16:41:57.538093;0;0.01;TimerTrig;0.01
TRIAL;2022-03-31 16:42:00.439918;;;New trial;
EVENT;2022-03-31 16:42:00.439918;0.0005;;158;Tup
END-TRIAL;2022-03-31 16:42:00.439918;;;The trial ended;
INFO;2022-03-31 16:42:00.439918;5.210312;5.210815;TRIAL-BPOD-TIME;0.0005030000000001422
STATE;2022-03-31 16:42:00.439918;0;0.0005;opto_on;0.0005
TRIAL;2022-03-31 16:42:02.679907;;;New trial;
EVENT;2022-03-31 16:42:02.679907;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:42:02.679907;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:42:02.679907;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:42:02.679907;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:42:02.689705;0.0082;;97;Port2Out
EVENT;2022-03-31 16:42:02.689705;0.0082;;99;Port3Out
EVENT;2022-03-31 16:42:02.689705;0.0082;;101;Port4Out
EVENT;2022-03-31 16:42:02.689705;0.01;;158;Tup
END-TRIAL;2022-03-31 16:42:02.689705;;;The trial ended;
INFO;2022-03-31 16:42:02.689705;7.450312;7.460315;TRIAL-BPOD-TIME;0.010002999999999318
STATE;2022-03-31 16:42:02.689705;0;0.01;TimerTrig;0.01
TRIAL;2022-03-31 16:42:05.599910;;;New trial;
EVENT;2022-03-31 16:42:05.609915;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:42:05.609915;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:42:05.609915;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:42:05.609915;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:42:05.609915;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:42:05.609915;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-31 16:42:05.609915;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:42:05.609915;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-31 16:42:05.609915;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:42:05.609915;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:42:05.609915;0.005;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:42:05.609915;0.0055000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:42:05.609915;0.006;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:42:05.609915;0.006500000000000001;;118;GlobalTimer1_End
EVENT;2022-03-31 16:42:05.609915;0.007;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:42:05.609915;0.007500000000000001;;118;GlobalTimer1_End
EVENT;2022-03-31 16:42:05.609915;0.009300000000000001;;97;Port2Out
EVENT;2022-03-31 16:42:05.609915;0.009300000000000001;;99;Port3Out
EVENT;2022-03-31 16:42:05.609915;0.009300000000000001;;101;Port4Out
EVENT;2022-03-31 16:42:05.609915;0.01;;158;Tup
END-TRIAL;2022-03-31 16:42:05.609915;;;The trial ended;
INFO;2022-03-31 16:42:05.609915;10.370412;10.380415;TRIAL-BPOD-TIME;0.010002999999999318
STATE;2022-03-31 16:42:05.609915;0;0.01;TimerTrig;0.01
