__UUID4__;85400e4d-2b62-4097-9919-dfb4d330f7c2
__CREATED-ON__;2022-03-31 16:51:36.307828
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-31 16:51:36.307828;;;SERIAL-PORT;COM13
INFO;2022-03-31 16:51:36.307828;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-31 16:51:36.307828;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-31 16:51:36.307828;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-31 16:51:36.307828;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-31 16:51:36.307828;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-31 16:51:36.307828;;;SETUP-NAME;passive_opto_long
INFO;2022-03-31 16:51:36.307828;;;BPOD-GUI-VERSION;
INFO;2022-03-31 16:51:36.307828;;;NET-PORT;36000
INFO;2022-03-31 16:51:36.307828;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-31 16:51:36.742827;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-31 16:51:36.742827;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-31 16:51:36.742827;;;SESSION-NAME;20220331-165130
INFO;2022-03-31 16:51:36.742827;;;SESSION-STARTED;2022-03-31 16:51:36.307828
TRIAL;2022-03-31 16:51:37.816063;;;New trial;
EVENT;2022-03-31 16:51:37.816063;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:51:37.816063;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:51:37.816063;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:51:37.825845;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:51:37.825845;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:51:37.825845;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-31 16:51:37.825845;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:51:37.825845;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-31 16:51:37.825845;0.01;;158;Tup
END-TRIAL;2022-03-31 16:51:37.825845;;;The trial ended;
INFO;2022-03-31 16:51:37.825845;1.403212;1.413216;TRIAL-BPOD-TIME;0.010004000000000124
STATE;2022-03-31 16:51:37.825845;0;0.01;TimerTrig;0.01
TRIAL;2022-03-31 16:51:40.577685;;;New trial;
EVENT;2022-03-31 16:51:40.587693;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:51:40.587693;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:51:40.587693;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:51:40.587693;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:51:40.587693;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:51:40.587693;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-31 16:51:40.587693;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:51:40.587693;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-31 16:51:40.587693;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:51:40.587693;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:51:40.587693;0.005;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:51:40.587693;0.0055000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:51:40.587693;0.006;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:51:40.587693;0.006500000000000001;;118;GlobalTimer1_End
EVENT;2022-03-31 16:51:40.587693;0.007;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:51:40.587693;0.007500000000000001;;118;GlobalTimer1_End
EVENT;2022-03-31 16:51:40.587693;0.01;;158;Tup
END-TRIAL;2022-03-31 16:51:40.587693;;;The trial ended;
INFO;2022-03-31 16:51:40.587693;4.164613;4.174615;TRIAL-BPOD-TIME;0.010002000000000066
STATE;2022-03-31 16:51:40.587693;0;0.01;TimerTrig;0.01
TRIAL;2022-03-31 16:51:43.227685;;;New trial;
EVENT;2022-03-31 16:51:43.237691;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:51:43.237691;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:51:43.237691;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:51:43.237691;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:51:43.237691;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:51:43.237691;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-31 16:51:43.237691;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:51:43.237691;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-31 16:51:43.237691;0.004;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:51:43.237691;0.0045000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:51:43.237691;0.005;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:51:43.237691;0.0055000000000000005;;97;Port2Out
EVENT;2022-03-31 16:51:43.237691;0.0055000000000000005;;99;Port3Out
EVENT;2022-03-31 16:51:43.237691;0.0055000000000000005;;101;Port4Out
EVENT;2022-03-31 16:51:43.237691;0.0055000000000000005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:51:43.237691;0.006;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:51:43.237691;0.006500000000000001;;118;GlobalTimer1_End
EVENT;2022-03-31 16:51:43.237691;0.007;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:51:43.237691;0.007500000000000001;;118;GlobalTimer1_End
EVENT;2022-03-31 16:51:43.237691;0.0085;;96;Port2In
EVENT;2022-03-31 16:51:43.237691;0.0085;;98;Port3In
EVENT;2022-03-31 16:51:43.237691;0.0085;;100;Port4In
EVENT;2022-03-31 16:51:43.237691;0.01;;158;Tup
END-TRIAL;2022-03-31 16:51:43.237691;;;The trial ended;
INFO;2022-03-31 16:51:43.237691;6.814612;6.824615;TRIAL-BPOD-TIME;0.010002999999999318
STATE;2022-03-31 16:51:43.237691;0;0.01;TimerTrig;0.01
TRIAL;2022-03-31 16:51:45.687642;;;New trial;
EVENT;2022-03-31 16:51:45.697689;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:51:45.697689;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:51:45.697689;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:51:45.697689;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:51:45.697689;0.002;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:51:45.697689;0.0025;;118;GlobalTimer1_End
EVENT;2022-03-31 16:51:45.697689;0.003;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:51:45.697689;0.0035;;118;GlobalTimer1_End
EVENT;2022-03-31 16:51:45.697689;0.007;;97;Port2Out
EVENT;2022-03-31 16:51:45.697689;0.0071;;99;Port3Out
EVENT;2022-03-31 16:51:45.697689;0.0071;;101;Port4Out
EVENT;2022-03-31 16:51:45.697689;0.01;;158;Tup
END-TRIAL;2022-03-31 16:51:45.697689;;;The trial ended;
INFO;2022-03-31 16:51:45.697689;9.274612;9.284615;TRIAL-BPOD-TIME;0.010003000000001094
STATE;2022-03-31 16:51:45.697689;0;0.01;TimerTrig;0.01
INFO;2022-03-31 16:51:46.707689;;;SESSION-ENDED;2022-03-31 16:51:46.707689
