__UUID4__;241b69f9-7b58-4781-a9ef-3f54cc73668b
__CREATED-ON__;2022-03-31 16:55:50.547853
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-31 16:55:50.547853;;;SERIAL-PORT;COM13
INFO;2022-03-31 16:55:50.547853;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_long
INFO;2022-03-31 16:55:50.547853;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-31 16:55:50.547853;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-31 16:55:50.547853;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-31 16:55:50.547853;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-31 16:55:50.547853;;;SETUP-NAME;passive_opto_long
INFO;2022-03-31 16:55:50.547853;;;BPOD-GUI-VERSION;
INFO;2022-03-31 16:55:50.547853;;;NET-PORT;36000
INFO;2022-03-31 16:55:50.547853;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-31 16:55:50.980822;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-31 16:55:50.980822;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-31 16:55:50.980822;;;SESSION-NAME;20220331-165545
INFO;2022-03-31 16:55:50.980822;;;SESSION-STARTED;2022-03-31 16:55:50.547853
TRIAL;2022-03-31 16:55:55.869318;;;New trial;
EVENT;2022-03-31 16:55:55.879137;0.0001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:55:55.879137;0.0005;;118;GlobalTimer1_End
EVENT;2022-03-31 16:55:55.879137;0.0009000000000000001;;97;Port2Out
EVENT;2022-03-31 16:55:55.879137;0.0009000000000000001;;99;Port3Out
EVENT;2022-03-31 16:55:55.879137;0.0009000000000000001;;101;Port4Out
EVENT;2022-03-31 16:55:55.879137;0.001;;102;GlobalTimer1_Start
EVENT;2022-03-31 16:55:55.879137;0.0015;;118;GlobalTimer1_End
EVENT;2022-03-31 16:55:55.879137;0.0039000000000000003;;96;Port2In
EVENT;2022-03-31 16:55:55.879137;0.0039000000000000003;;98;Port3In
EVENT;2022-03-31 16:55:55.879137;0.0039000000000000003;;100;Port4In
EVENT;2022-03-31 16:55:55.879137;0.01;;158;Tup
