__UUID4__;784cddfa-bfae-493e-a7b0-eac2f09cd603
__CREATED-ON__;2022-03-14 13:48:47.334668
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-14 13:48:47.334668;;;SERIAL-PORT;COM13
INFO;2022-03-14 13:48:47.334668;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_short
INFO;2022-03-14 13:48:47.334668;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-14 13:48:47.334668;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-14 13:48:47.334668;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-14 13:48:47.334668;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-14 13:48:47.334668;;;SETUP-NAME;passive_opto_short
INFO;2022-03-14 13:48:47.334668;;;BPOD-GUI-VERSION;
INFO;2022-03-14 13:48:47.334668;;;NET-PORT;36000
INFO;2022-03-14 13:48:47.334668;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-14 13:48:47.764876;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-14 13:48:47.764876;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-14 13:48:47.764876;;;SESSION-NAME;20220314-134842
INFO;2022-03-14 13:48:47.764876;;;SESSION-STARTED;2022-03-14 13:48:47.334668
TRIAL;2022-03-14 13:48:48.774845;;;New trial;
EVENT;2022-03-14 13:48:48.774845;0.001;;158;Tup
END-TRIAL;2022-03-14 13:48:48.774845;;;The trial ended;
INFO;2022-03-14 13:48:48.774845;1.337412;1.338416;TRIAL-BPOD-TIME;0.0010040000000000049
STATE;2022-03-14 13:48:48.774845;0;0.001;opto_on;0.001
TRIAL;2022-03-14 13:48:49.774868;;;New trial;
EVENT;2022-03-14 13:48:49.874694;0.1;;158;Tup
END-TRIAL;2022-03-14 13:48:49.874694;;;The trial ended;
INFO;2022-03-14 13:48:49.874694;2.335912;2.435915;TRIAL-BPOD-TIME;0.10000300000000006
STATE;2022-03-14 13:48:49.874694;0;0.1;opto_on;0.1
TRIAL;2022-03-14 13:48:52.774862;;;New trial;
EVENT;2022-03-14 13:48:52.774862;0.001;;158;Tup
END-TRIAL;2022-03-14 13:48:52.774862;;;The trial ended;
INFO;2022-03-14 13:48:52.774862;5.336612;5.337615;TRIAL-BPOD-TIME;0.0010030000000007533
STATE;2022-03-14 13:48:52.774862;0;0.001;opto_on;0.001
TRIAL;2022-03-14 13:48:53.774668;;;New trial;
EVENT;2022-03-14 13:48:53.874667;0.1;;158;Tup
END-TRIAL;2022-03-14 13:48:53.874667;;;The trial ended;
INFO;2022-03-14 13:48:53.874667;6.335812;6.435815;TRIAL-BPOD-TIME;0.10000300000000006
STATE;2022-03-14 13:48:53.874667;0;0.1;opto_on;0.1
TRIAL;2022-03-14 13:48:56.774870;;;New trial;
EVENT;2022-03-14 13:48:56.774870;0.001;;158;Tup
END-TRIAL;2022-03-14 13:48:56.774870;;;The trial ended;
INFO;2022-03-14 13:48:56.774870;9.336612;9.337614;TRIAL-BPOD-TIME;0.0010019999999997253
STATE;2022-03-14 13:48:56.774870;0;0.001;opto_on;0.001
TRIAL;2022-03-14 13:48:57.774861;;;New trial;
EVENT;2022-03-14 13:48:57.874696;0.1;;158;Tup
END-TRIAL;2022-03-14 13:48:57.874696;;;The trial ended;
INFO;2022-03-14 13:48:57.874696;10.336212;10.436215;TRIAL-BPOD-TIME;0.10000300000000095
STATE;2022-03-14 13:48:57.874696;0;0.1;opto_on;0.1
TRIAL;2022-03-14 13:49:00.774871;;;New trial;
EVENT;2022-03-14 13:49:00.774871;0.001;;158;Tup
END-TRIAL;2022-03-14 13:49:00.774871;;;The trial ended;
INFO;2022-03-14 13:49:00.774871;13.336612;13.337614;TRIAL-BPOD-TIME;0.0010019999999997253
STATE;2022-03-14 13:49:00.774871;0;0.001;opto_on;0.001
TRIAL;2022-03-14 13:49:01.774858;;;New trial;
EVENT;2022-03-14 13:49:01.874670;0.1;;158;Tup
END-TRIAL;2022-03-14 13:49:01.874670;;;The trial ended;
INFO;2022-03-14 13:49:01.874670;14.335812;14.435815;TRIAL-BPOD-TIME;0.10000299999999918
STATE;2022-03-14 13:49:01.874670;0;0.1;opto_on;0.1
TRIAL;2022-03-14 13:49:04.774874;;;New trial;
EVENT;2022-03-14 13:49:04.774874;0.001;;158;Tup
END-TRIAL;2022-03-14 13:49:04.774874;;;The trial ended;
INFO;2022-03-14 13:49:04.774874;17.336712;17.337714;TRIAL-BPOD-TIME;0.0010019999999997253
STATE;2022-03-14 13:49:04.774874;0;0.001;opto_on;0.001
TRIAL;2022-03-14 13:49:05.774853;;;New trial;
EVENT;2022-03-14 13:49:05.874670;0.1;;158;Tup
END-TRIAL;2022-03-14 13:49:05.874670;;;The trial ended;
INFO;2022-03-14 13:49:05.874670;18.335812;18.435815;TRIAL-BPOD-TIME;0.10000300000000095
STATE;2022-03-14 13:49:05.874670;0;0.1;opto_on;0.1
INFO;2022-03-14 13:49:08.774858;;;SESSION-ENDED;2022-03-14 13:49:08.774858
