__UUID4__;e130b3e8-e295-428b-8b1c-0a0c53fed204
__CREATED-ON__;2022-03-14 17:30:54.435938
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-14 17:30:54.435938;;;SERIAL-PORT;COM13
INFO;2022-03-14 17:30:54.435938;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_short
INFO;2022-03-14 17:30:54.435938;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-14 17:30:54.435938;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-14 17:30:54.435938;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-14 17:30:54.435938;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-14 17:30:54.435938;;;SETUP-NAME;passive_opto_short
INFO;2022-03-14 17:30:54.435938;;;BPOD-GUI-VERSION;
INFO;2022-03-14 17:30:54.435938;;;NET-PORT;36000
INFO;2022-03-14 17:30:54.435938;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-14 17:30:54.871308;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-14 17:30:54.871308;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-14 17:30:54.871308;;;SESSION-NAME;20220314-173049
INFO;2022-03-14 17:30:54.871308;;;SESSION-STARTED;2022-03-14 17:30:54.435938
TRIAL;2022-03-14 17:30:55.874025;;;New trial;
EVENT;2022-03-14 17:30:55.874025;0.0009000000000000001;;94;Port1In
EVENT;2022-03-14 17:30:55.874025;0.001;;158;Tup
END-TRIAL;2022-03-14 17:30:55.874025;;;The trial ended;
INFO;2022-03-14 17:30:55.874025;1.330413;1.331416;TRIAL-BPOD-TIME;0.0010029999999998651
STATE;2022-03-14 17:30:55.874025;0;0.001;opto_on;0.001
TRIAL;2022-03-14 17:30:56.874029;;;New trial;
EVENT;2022-03-14 17:30:56.874029;0.001;;94;Port1In
EVENT;2022-03-14 17:30:56.874029;0.0029000000000000002;;95;Port1Out
EVENT;2022-03-14 17:30:56.893813;0.013900000000000001;;97;Port2Out
EVENT;2022-03-14 17:30:56.893813;0.014;;99;Port3Out
EVENT;2022-03-14 17:30:56.893813;0.014;;101;Port4Out
EVENT;2022-03-14 17:30:56.893813;0.016900000000000002;;98;Port3In
EVENT;2022-03-14 17:30:56.893813;0.016900000000000002;;100;Port4In
EVENT;2022-03-14 17:30:56.893813;0.017;;96;Port2In
EVENT;2022-03-14 17:30:56.893813;0.0176;;94;Port1In
EVENT;2022-03-14 17:30:56.893813;0.0196;;95;Port1Out
EVENT;2022-03-14 17:30:56.913841;0.0339;;97;Port2Out
EVENT;2022-03-14 17:30:56.913841;0.0339;;99;Port3Out
EVENT;2022-03-14 17:30:56.913841;0.0339;;101;Port4Out
EVENT;2022-03-14 17:30:56.913841;0.0342;;94;Port1In
EVENT;2022-03-14 17:30:56.913841;0.0362;;95;Port1Out
EVENT;2022-03-14 17:30:56.913841;0.0369;;98;Port3In
EVENT;2022-03-14 17:30:56.913841;0.0369;;100;Port4In
EVENT;2022-03-14 17:30:56.913841;0.037000000000000005;;96;Port2In
EVENT;2022-03-14 17:30:56.933813;0.0509;;94;Port1In
EVENT;2022-03-14 17:30:56.933813;0.0529;;95;Port1Out
EVENT;2022-03-14 17:30:56.933813;0.0538;;97;Port2Out
EVENT;2022-03-14 17:30:56.933813;0.0539;;99;Port3Out
EVENT;2022-03-14 17:30:56.933813;0.0539;;101;Port4Out
EVENT;2022-03-14 17:30:56.933813;0.056900000000000006;;98;Port3In
EVENT;2022-03-14 17:30:56.933813;0.056900000000000006;;100;Port4In
EVENT;2022-03-14 17:30:56.933813;0.057;;96;Port2In
EVENT;2022-03-14 17:30:56.953813;0.0675;;94;Port1In
EVENT;2022-03-14 17:30:56.953813;0.0695;;95;Port1Out
EVENT;2022-03-14 17:30:56.953813;0.0738;;97;Port2Out
EVENT;2022-03-14 17:30:56.953813;0.07400000000000001;;99;Port3Out
EVENT;2022-03-14 17:30:56.953813;0.07400000000000001;;101;Port4Out
EVENT;2022-03-14 17:30:56.953813;0.07690000000000001;;98;Port3In
EVENT;2022-03-14 17:30:56.953813;0.07690000000000001;;100;Port4In
EVENT;2022-03-14 17:30:56.953813;0.077;;96;Port2In
EVENT;2022-03-14 17:30:56.963813;0.08420000000000001;;94;Port1In
EVENT;2022-03-14 17:30:56.963813;0.0862;;95;Port1Out
EVENT;2022-03-14 17:30:56.973813;0.09390000000000001;;97;Port2Out
EVENT;2022-03-14 17:30:56.973813;0.094;;99;Port3Out
EVENT;2022-03-14 17:30:56.973813;0.094;;101;Port4Out
EVENT;2022-03-14 17:30:56.973813;0.0969;;98;Port3In
EVENT;2022-03-14 17:30:56.973813;0.0969;;100;Port4In
EVENT;2022-03-14 17:30:56.973813;0.097;;96;Port2In
EVENT;2022-03-14 17:30:56.973813;0.1;;158;Tup
END-TRIAL;2022-03-14 17:30:56.973813;;;The trial ended;
INFO;2022-03-14 17:30:56.973813;2.328813;2.428815;TRIAL-BPOD-TIME;0.10000200000000037
STATE;2022-03-14 17:30:56.973813;0;0.1;opto_on;0.1
TRIAL;2022-03-14 17:30:59.875677;;;New trial;
EVENT;2022-03-14 17:30:59.875677;0.001;;158;Tup
END-TRIAL;2022-03-14 17:30:59.875677;;;The trial ended;
INFO;2022-03-14 17:30:59.875677;5.331212;5.332216;TRIAL-BPOD-TIME;0.0010040000000000049
STATE;2022-03-14 17:30:59.875677;0;0.001;opto_on;0.001
TRIAL;2022-03-14 17:31:00.875677;;;New trial;
EVENT;2022-03-14 17:31:00.895468;0.0099;;94;Port1In
EVENT;2022-03-14 17:31:00.895468;0.0119;;95;Port1Out
EVENT;2022-03-14 17:31:00.895468;0.0122;;97;Port2Out
EVENT;2022-03-14 17:31:00.895468;0.0123;;99;Port3Out
EVENT;2022-03-14 17:31:00.895468;0.0123;;101;Port4Out
EVENT;2022-03-14 17:31:00.895468;0.015300000000000001;;98;Port3In
EVENT;2022-03-14 17:31:00.895468;0.015300000000000001;;100;Port4In
EVENT;2022-03-14 17:31:00.895468;0.0154;;96;Port2In
EVENT;2022-03-14 17:31:00.915468;0.026500000000000003;;94;Port1In
EVENT;2022-03-14 17:31:00.915468;0.0285;;95;Port1Out
EVENT;2022-03-14 17:31:00.915468;0.0322;;97;Port2Out
EVENT;2022-03-14 17:31:00.915468;0.0323;;99;Port3Out
EVENT;2022-03-14 17:31:00.915468;0.0323;;101;Port4Out
EVENT;2022-03-14 17:31:00.915468;0.035300000000000005;;98;Port3In
EVENT;2022-03-14 17:31:00.915468;0.035300000000000005;;100;Port4In
EVENT;2022-03-14 17:31:00.915468;0.0354;;96;Port2In
EVENT;2022-03-14 17:31:00.925468;0.0432;;94;Port1In
EVENT;2022-03-14 17:31:00.925468;0.045200000000000004;;95;Port1Out
EVENT;2022-03-14 17:31:00.935470;0.0523;;97;Port2Out
EVENT;2022-03-14 17:31:00.935470;0.0523;;99;Port3Out
EVENT;2022-03-14 17:31:00.935470;0.0523;;101;Port4Out
EVENT;2022-03-14 17:31:00.935470;0.0553;;98;Port3In
EVENT;2022-03-14 17:31:00.935470;0.0553;;100;Port4In
EVENT;2022-03-14 17:31:00.935470;0.055400000000000005;;96;Port2In
EVENT;2022-03-14 17:31:00.935470;0.059800000000000006;;94;Port1In
EVENT;2022-03-14 17:31:00.935470;0.0618;;95;Port1Out
EVENT;2022-03-14 17:31:00.955470;0.0722;;97;Port2Out
EVENT;2022-03-14 17:31:00.955470;0.0723;;99;Port3Out
