__UUID4__;ce024dae-1d72-4987-bd9c-c54fb68a3389
__CREATED-ON__;2022-03-14 17:33:28.270731
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-14 17:33:28.270731;;;SERIAL-PORT;COM13
INFO;2022-03-14 17:33:28.270731;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_short
INFO;2022-03-14 17:33:28.270731;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-14 17:33:28.270731;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-14 17:33:28.270731;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-14 17:33:28.270731;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-14 17:33:28.270731;;;SETUP-NAME;passive_opto_short
INFO;2022-03-14 17:33:28.270731;;;BPOD-GUI-VERSION;
INFO;2022-03-14 17:33:28.270731;;;NET-PORT;36000
INFO;2022-03-14 17:33:28.270731;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-14 17:33:28.703572;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-14 17:33:28.703572;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-14 17:33:28.703572;;;SESSION-NAME;20220314-173322
INFO;2022-03-14 17:33:28.703572;;;SESSION-STARTED;2022-03-14 17:33:28.270731
TRIAL;2022-03-14 17:33:29.708751;;;New trial;
EVENT;2022-03-14 17:33:29.708751;0.0001;;97;Port2Out
EVENT;2022-03-14 17:33:29.708751;0.0001;;99;Port3Out
EVENT;2022-03-14 17:33:29.708751;0.0001;;101;Port4Out
EVENT;2022-03-14 17:33:29.708751;0.001;;158;Tup
END-TRIAL;2022-03-14 17:33:29.708751;;;The trial ended;
INFO;2022-03-14 17:33:29.708751;1.333013;1.334015;TRIAL-BPOD-TIME;0.0010019999999999474
STATE;2022-03-14 17:33:29.708751;0;0.001;opto_on;0.001
TRIAL;2022-03-14 17:33:30.708765;;;New trial;
EVENT;2022-03-14 17:33:30.718557;0.0013000000000000002;;97;Port2Out
EVENT;2022-03-14 17:33:30.718557;0.0014;;99;Port3Out
EVENT;2022-03-14 17:33:30.718557;0.0014;;101;Port4Out
EVENT;2022-03-14 17:33:30.718557;0.0022;;94;Port1In
EVENT;2022-03-14 17:33:30.718557;0.004200000000000001;;95;Port1Out
EVENT;2022-03-14 17:33:30.718557;0.0044;;96;Port2In
EVENT;2022-03-14 17:33:30.718557;0.0044;;98;Port3In
EVENT;2022-03-14 17:33:30.718557;0.0044;;100;Port4In
EVENT;2022-03-14 17:33:30.728556;0.0188;;94;Port1In
EVENT;2022-03-14 17:33:30.728556;0.020800000000000003;;95;Port1Out
EVENT;2022-03-14 17:33:30.738556;0.0213;;97;Port2Out
EVENT;2022-03-14 17:33:30.738556;0.021400000000000002;;99;Port3Out
EVENT;2022-03-14 17:33:30.738556;0.021400000000000002;;101;Port4Out
EVENT;2022-03-14 17:33:30.738556;0.0244;;98;Port3In
EVENT;2022-03-14 17:33:30.738556;0.0244;;100;Port4In
EVENT;2022-03-14 17:33:30.738556;0.0245;;96;Port2In
