__UUID4__;0f4e0616-e96f-40bd-8145-395c223e3e46
__CREATED-ON__;2022-03-15 10:53:45.879814
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-15 10:53:45.879814;;;SERIAL-PORT;COM13
INFO;2022-03-15 10:53:45.879814;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_short
INFO;2022-03-15 10:53:45.879814;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-15 10:53:45.879814;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-15 10:53:45.879814;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-15 10:53:45.879814;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-15 10:53:45.879814;;;SETUP-NAME;passive_opto_short
INFO;2022-03-15 10:53:45.879814;;;BPOD-GUI-VERSION;
INFO;2022-03-15 10:53:45.879814;;;NET-PORT;36000
INFO;2022-03-15 10:53:45.879814;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-15 10:53:46.312756;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-15 10:53:46.312756;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-15 10:53:46.312756;;;SESSION-NAME;20220315-105340
INFO;2022-03-15 10:53:46.312756;;;SESSION-STARTED;2022-03-15 10:53:45.879814
TRIAL;2022-03-15 10:53:47.318135;;;New trial;
EVENT;2022-03-15 10:53:47.318135;0.001;;158;Tup
END-TRIAL;2022-03-15 10:53:47.318135;;;The trial ended;
INFO;2022-03-15 10:53:47.318135;1.328711;1.329715;TRIAL-BPOD-TIME;0.0010040000000000049
STATE;2022-03-15 10:53:47.318135;0;0.001;opto_on;0.001
TRIAL;2022-03-15 10:53:48.318132;;;New trial;
EVENT;2022-03-15 10:53:48.327929;0.0067;;94;Port1In
EVENT;2022-03-15 10:53:48.327929;0.008400000000000001;;97;Port2Out
EVENT;2022-03-15 10:53:48.327929;0.008400000000000001;;99;Port3Out
EVENT;2022-03-15 10:53:48.327929;0.008700000000000001;;95;Port1Out
EVENT;2022-03-15 10:53:48.327929;0.0089;;101;Port4Out
EVENT;2022-03-15 10:53:48.327929;0.0112;;100;Port4In
EVENT;2022-03-15 10:53:48.327929;0.0114;;96;Port2In
EVENT;2022-03-15 10:53:48.327929;0.0114;;98;Port3In
EVENT;2022-03-15 10:53:48.347928;0.0234;;94;Port1In
EVENT;2022-03-15 10:53:48.347928;0.025400000000000002;;95;Port1Out
