__UUID4__;9bc39f96-0778-46ba-8e3d-a0db57b4064c
__CREATED-ON__;2022-03-15 10:55:17.983789
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-15 10:55:17.983789;;;SERIAL-PORT;COM13
INFO;2022-03-15 10:55:17.983789;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_short
INFO;2022-03-15 10:55:17.983789;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-15 10:55:17.983789;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-15 10:55:17.983789;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-15 10:55:17.983789;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-15 10:55:17.983789;;;SETUP-NAME;passive_opto_short
INFO;2022-03-15 10:55:17.983789;;;BPOD-GUI-VERSION;
INFO;2022-03-15 10:55:17.983789;;;NET-PORT;36000
INFO;2022-03-15 10:55:17.983789;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-15 10:55:18.406657;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-15 10:55:18.406657;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-15 10:55:18.406657;;;SESSION-NAME;20220315-105512
INFO;2022-03-15 10:55:18.406657;;;SESSION-STARTED;2022-03-15 10:55:17.983789
TRIAL;2022-03-15 10:55:19.411911;;;New trial;
EVENT;2022-03-15 10:55:19.411911;0.001;;97;Port2Out
EVENT;2022-03-15 10:55:19.411911;0.001;;99;Port3Out
EVENT;2022-03-15 10:55:19.411911;0.001;;158;Tup
END-TRIAL;2022-03-15 10:55:19.411911;;;The trial ended;
INFO;2022-03-15 10:55:19.421704;1.326513;1.327517;TRIAL-BPOD-TIME;0.0010040000000000049
STATE;2022-03-15 10:55:19.421704;0;0.001;opto_on;0.001
TRIAL;2022-03-15 10:55:20.421912;;;New trial;
EVENT;2022-03-15 10:55:20.421912;0.00030000000000000003;;95;Port1Out
EVENT;2022-03-15 10:55:20.441703;0.0122;;97;Port2Out
EVENT;2022-03-15 10:55:20.441703;0.0122;;99;Port3Out
EVENT;2022-03-15 10:55:20.441703;0.012400000000000001;;101;Port4Out
EVENT;2022-03-15 10:55:20.441703;0.0149;;94;Port1In
EVENT;2022-03-15 10:55:20.441703;0.0152;;98;Port3In
EVENT;2022-03-15 10:55:20.441703;0.0152;;100;Port4In
EVENT;2022-03-15 10:55:20.441703;0.015300000000000001;;96;Port2In
EVENT;2022-03-15 10:55:20.441703;0.016900000000000002;;95;Port1Out
EVENT;2022-03-15 10:55:20.461732;0.0316;;94;Port1In
EVENT;2022-03-15 10:55:20.461732;0.0322;;97;Port2Out
EVENT;2022-03-15 10:55:20.461732;0.0322;;99;Port3Out
EVENT;2022-03-15 10:55:20.461732;0.0324;;101;Port4Out
EVENT;2022-03-15 10:55:20.461732;0.033600000000000005;;95;Port1Out
EVENT;2022-03-15 10:55:20.461732;0.0351;;100;Port4In
EVENT;2022-03-15 10:55:20.461732;0.0352;;98;Port3In
EVENT;2022-03-15 10:55:20.461732;0.035300000000000005;;96;Port2In
EVENT;2022-03-15 10:55:20.481734;0.0482;;94;Port1In
EVENT;2022-03-15 10:55:20.481734;0.0502;;95;Port1Out
EVENT;2022-03-15 10:55:20.481734;0.0522;;97;Port2Out
EVENT;2022-03-15 10:55:20.481734;0.0522;;99;Port3Out
EVENT;2022-03-15 10:55:20.481734;0.0524;;101;Port4Out
EVENT;2022-03-15 10:55:20.481734;0.0551;;100;Port4In
EVENT;2022-03-15 10:55:20.481734;0.055200000000000006;;96;Port2In
EVENT;2022-03-15 10:55:20.481734;0.055200000000000006;;98;Port3In
EVENT;2022-03-15 10:55:20.491704;0.0648;;94;Port1In
EVENT;2022-03-15 10:55:20.491704;0.0668;;95;Port1Out
EVENT;2022-03-15 10:55:20.501706;0.0722;;97;Port2Out
EVENT;2022-03-15 10:55:20.501706;0.0722;;99;Port3Out
EVENT;2022-03-15 10:55:20.501706;0.0724;;101;Port4Out
EVENT;2022-03-15 10:55:20.501706;0.0751;;100;Port4In
EVENT;2022-03-15 10:55:20.501706;0.0752;;96;Port2In
EVENT;2022-03-15 10:55:20.501706;0.0752;;98;Port3In
EVENT;2022-03-15 10:55:20.501706;0.0815;;94;Port1In
EVENT;2022-03-15 10:55:20.501706;0.0835;;95;Port1Out
EVENT;2022-03-15 10:55:20.521703;0.0921;;97;Port2Out
EVENT;2022-03-15 10:55:20.521703;0.0922;;99;Port3Out
EVENT;2022-03-15 10:55:20.521703;0.09240000000000001;;101;Port4Out
EVENT;2022-03-15 10:55:20.521703;0.0951;;100;Port4In
EVENT;2022-03-15 10:55:20.521703;0.0952;;96;Port2In
EVENT;2022-03-15 10:55:20.521703;0.0952;;98;Port3In
EVENT;2022-03-15 10:55:20.521703;0.0981;;94;Port1In
EVENT;2022-03-15 10:55:20.521703;0.1;;158;Tup
END-TRIAL;2022-03-15 10:55:20.521703;;;The trial ended;
INFO;2022-03-15 10:55:20.521703;2.334912;2.434915;TRIAL-BPOD-TIME;0.10000300000000006
STATE;2022-03-15 10:55:20.521703;0;0.1;opto_on;0.1
TRIAL;2022-03-15 10:55:23.423550;;;New trial;
EVENT;2022-03-15 10:55:23.423550;0.001;;158;Tup
END-TRIAL;2022-03-15 10:55:23.423550;;;The trial ended;
INFO;2022-03-15 10:55:23.423550;5.337312;5.338315;TRIAL-BPOD-TIME;0.0010029999999998651
STATE;2022-03-15 10:55:23.423550;0;0.001;opto_on;0.001
TRIAL;2022-03-15 10:55:24.423549;;;New trial;
EVENT;2022-03-15 10:55:24.433373;0.0073;;94;Port1In
EVENT;2022-03-15 10:55:24.433373;0.0092;;97;Port2Out
EVENT;2022-03-15 10:55:24.433373;0.009300000000000001;;95;Port1Out
EVENT;2022-03-15 10:55:24.433373;0.009300000000000001;;99;Port3Out
EVENT;2022-03-15 10:55:24.433373;0.0095;;101;Port4Out
