__UUID4__;678e1ab9-606c-4680-a993-7d42b562b969
__CREATED-ON__;2022-03-31 17:05:11.353556
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2022-03-31 17:05:11.353556;;;SERIAL-PORT;COM13
INFO;2022-03-31 17:05:11.353556;;;PROTOCOL-NAME;_iblrig_tasks_passive_opto_short
INFO;2022-03-31 17:05:11.353556;;;CREATOR-NAME;["guido", "f57f5115-7350-4565-8b05-61d0b690112e", "local"]
INFO;2022-03-31 17:05:11.353556;;;PROJECT-NAME;serotonin_inference
INFO;2022-03-31 17:05:11.353556;;;EXPERIMENT-NAME;_iblrig_tasks
INFO;2022-03-31 17:05:11.353556;;;BOARD-NAME;_iblrig_mainenlab_ephys_0
INFO;2022-03-31 17:05:11.353556;;;SETUP-NAME;passive_opto_short
INFO;2022-03-31 17:05:11.353556;;;BPOD-GUI-VERSION;
INFO;2022-03-31 17:05:11.353556;;;NET-PORT;36000
INFO;2022-03-31 17:05:11.353556;;;SUBJECT-NAME;['_iblrig_test_mouse', '34567c78-a0c5-4116-b808-39c361d47282']
INFO;2022-03-31 17:05:11.786275;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2022-03-31 17:05:11.786275;;;BPOD-API-VERSION;1.8.2
INFO;2022-03-31 17:05:11.786275;;;SESSION-NAME;20220331-170505
INFO;2022-03-31 17:05:11.786275;;;SESSION-STARTED;2022-03-31 17:05:11.353556
TRIAL;2022-03-31 17:05:12.791370;;;New trial;
EVENT;2022-03-31 17:05:12.791370;0.001;;158;Tup
END-TRIAL;2022-03-31 17:05:12.791370;;;The trial ended;
INFO;2022-03-31 17:05:12.791370;1.331112;1.332115;TRIAL-BPOD-TIME;0.0010029999999998651
STATE;2022-03-31 17:05:12.791370;0;0.001;opto_on;0.001
TRIAL;2022-03-31 17:05:13.791369;;;New trial;
EVENT;2022-03-31 17:05:13.801372;0.0037;;97;Port2Out
EVENT;2022-03-31 17:05:13.801372;0.0038;;99;Port3Out
EVENT;2022-03-31 17:05:13.801372;0.0038;;101;Port4Out
EVENT;2022-03-31 17:05:13.801372;0.0068000000000000005;;96;Port2In
EVENT;2022-03-31 17:05:13.801372;0.0068000000000000005;;98;Port3In
EVENT;2022-03-31 17:05:13.801372;0.0068000000000000005;;100;Port4In
EVENT;2022-03-31 17:05:13.821153;0.023700000000000002;;97;Port2Out
EVENT;2022-03-31 17:05:13.821153;0.0238;;99;Port3Out
EVENT;2022-03-31 17:05:13.821153;0.0238;;101;Port4Out
EVENT;2022-03-31 17:05:13.821153;0.0268;;96;Port2In
EVENT;2022-03-31 17:05:13.821153;0.0268;;98;Port3In
EVENT;2022-03-31 17:05:13.821153;0.0268;;100;Port4In
EVENT;2022-03-31 17:05:13.841185;0.0437;;97;Port2Out
EVENT;2022-03-31 17:05:13.841185;0.0438;;99;Port3Out
EVENT;2022-03-31 17:05:13.841185;0.0438;;101;Port4Out
EVENT;2022-03-31 17:05:13.841185;0.0468;;96;Port2In
EVENT;2022-03-31 17:05:13.841185;0.0468;;98;Port3In
EVENT;2022-03-31 17:05:13.841185;0.0468;;100;Port4In
EVENT;2022-03-31 17:05:13.861181;0.0637;;97;Port2Out
EVENT;2022-03-31 17:05:13.861181;0.0637;;99;Port3Out
EVENT;2022-03-31 17:05:13.861181;0.0637;;101;Port4Out
EVENT;2022-03-31 17:05:13.861181;0.0668;;96;Port2In
EVENT;2022-03-31 17:05:13.861181;0.0668;;98;Port3In
EVENT;2022-03-31 17:05:13.861181;0.0668;;100;Port4In
EVENT;2022-03-31 17:05:13.881153;0.08370000000000001;;97;Port2Out
EVENT;2022-03-31 17:05:13.881153;0.08370000000000001;;99;Port3Out
EVENT;2022-03-31 17:05:13.881153;0.08370000000000001;;101;Port4Out
EVENT;2022-03-31 17:05:13.881153;0.0867;;98;Port3In
EVENT;2022-03-31 17:05:13.881153;0.0867;;100;Port4In
EVENT;2022-03-31 17:05:13.881153;0.0868;;96;Port2In
EVENT;2022-03-31 17:05:13.891155;0.1;;158;Tup
END-TRIAL;2022-03-31 17:05:13.891155;;;The trial ended;
INFO;2022-03-31 17:05:13.891155;2.329512;2.429515;TRIAL-BPOD-TIME;0.10000300000000006
STATE;2022-03-31 17:05:13.891155;0;0.1;opto_on;0.1
TRIAL;2022-03-31 17:05:27.532951;;;New trial;
EVENT;2022-03-31 17:05:27.532951;0.001;;158;Tup
END-TRIAL;2022-03-31 17:05:27.532951;;;The trial ended;
INFO;2022-03-31 17:05:27.532951;16.071912;16.072915;TRIAL-BPOD-TIME;0.0010029999999972006
STATE;2022-03-31 17:05:27.532951;0;0.001;opto_on;0.001
TRIAL;2022-03-31 17:05:28.532941;;;New trial;
EVENT;2022-03-31 17:05:28.552737;0.012;;97;Port2Out
EVENT;2022-03-31 17:05:28.552737;0.012100000000000001;;99;Port3Out
EVENT;2022-03-31 17:05:28.552737;0.012100000000000001;;101;Port4Out
EVENT;2022-03-31 17:05:28.552737;0.0151;;96;Port2In
EVENT;2022-03-31 17:05:28.552737;0.0151;;98;Port3In
EVENT;2022-03-31 17:05:28.552737;0.0151;;100;Port4In
EVENT;2022-03-31 17:05:28.572737;0.032;;97;Port2Out
EVENT;2022-03-31 17:05:28.572737;0.032;;99;Port3Out
EVENT;2022-03-31 17:05:28.572737;0.032;;101;Port4Out
EVENT;2022-03-31 17:05:28.572737;0.0351;;96;Port2In
EVENT;2022-03-31 17:05:28.572737;0.0351;;98;Port3In
EVENT;2022-03-31 17:05:28.572737;0.0351;;100;Port4In
EVENT;2022-03-31 17:05:28.592737;0.052000000000000005;;97;Port2Out
EVENT;2022-03-31 17:05:28.592737;0.052000000000000005;;99;Port3Out
EVENT;2022-03-31 17:05:28.592737;0.052000000000000005;;101;Port4Out
EVENT;2022-03-31 17:05:28.592737;0.0551;;96;Port2In
EVENT;2022-03-31 17:05:28.592737;0.0551;;98;Port3In
EVENT;2022-03-31 17:05:28.592737;0.0551;;100;Port4In
EVENT;2022-03-31 17:05:28.612737;0.07200000000000001;;97;Port2Out
EVENT;2022-03-31 17:05:28.612737;0.07200000000000001;;99;Port3Out
EVENT;2022-03-31 17:05:28.612737;0.07200000000000001;;101;Port4Out
EVENT;2022-03-31 17:05:28.612737;0.0751;;96;Port2In
EVENT;2022-03-31 17:05:28.612737;0.0751;;98;Port3In
EVENT;2022-03-31 17:05:28.612737;0.0751;;100;Port4In
EVENT;2022-03-31 17:05:28.632737;0.092;;97;Port2Out
EVENT;2022-03-31 17:05:28.632737;0.092;;99;Port3Out
EVENT;2022-03-31 17:05:28.632737;0.092;;101;Port4Out
EVENT;2022-03-31 17:05:28.632737;0.0951;;96;Port2In
EVENT;2022-03-31 17:05:28.632737;0.0951;;98;Port3In
EVENT;2022-03-31 17:05:28.632737;0.0951;;100;Port4In
EVENT;2022-03-31 17:05:28.632737;0.1;;158;Tup
END-TRIAL;2022-03-31 17:05:28.632737;;;The trial ended;
INFO;2022-03-31 17:05:28.632737;17.071012;17.171016;TRIAL-BPOD-TIME;0.10000400000000198
STATE;2022-03-31 17:05:28.632737;0;0.1;opto_on;0.1
TRIAL;2022-03-31 17:05:35.842954;;;New trial;
EVENT;2022-03-31 17:05:35.842954;0.001;;158;Tup
END-TRIAL;2022-03-31 17:05:35.842954;;;The trial ended;
INFO;2022-03-31 17:05:35.842954;24.381812;24.382815;TRIAL-BPOD-TIME;0.0010030000000007533
STATE;2022-03-31 17:05:35.842954;0;0.001;opto_on;0.001
TRIAL;2022-03-31 17:05:36.842946;;;New trial;
EVENT;2022-03-31 17:05:36.862730;0.0148;;97;Port2Out
EVENT;2022-03-31 17:05:36.862730;0.0149;;99;Port3Out
EVENT;2022-03-31 17:05:36.862730;0.0149;;101;Port4Out
EVENT;2022-03-31 17:05:36.862730;0.0179;;96;Port2In
EVENT;2022-03-31 17:05:36.862730;0.0179;;98;Port3In
EVENT;2022-03-31 17:05:36.862730;0.0179;;100;Port4In
EVENT;2022-03-31 17:05:36.882730;0.034800000000000005;;97;Port2Out
